Indicator,Country,Gender,Year,Val
(EU) At-risk-of-poverty rate after social transfers,Norway,male,2013,10.2
(EU) At-risk-of-poverty rate after social transfers,Norway,male,2014,9.9
(EU) At-risk-of-poverty rate after social transfers,Norway,male,2015,10.3
(EU) At-risk-of-poverty rate after social transfers,Norway,male,2016,10.5
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2008,12.9
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2009,13.2
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2010,12.2
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2011,11.1
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2012,10.4
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2013,11.7
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2014,11.9
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2015,13.5
(EU) At-risk-of-poverty rate after social transfers,Norway,female,2016,13.8
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2008,11.4
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2009,11.7
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2010,11.2
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2011,10.5
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2012,10.0
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2013,10.9
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2014,10.9
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2015,11.9
(EU) At-risk-of-poverty rate after social transfers,Norway,combined,2016,12.2
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Norway,combined,2008,480.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Norway,combined,2009,461.8
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Norway,combined,2012,438.5
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Norway,combined,2015,375.9
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Norway,combined,2016,385.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Norway,combined,2017,391.7
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2008,21.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2009,21.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2010,19.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2011,17.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2012,16.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2013,15.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2014,14.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2015,13.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2016,13.0
"(EU) Daily smokers aged 15 years and above, %",Norway,male,2017,12.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2008,22.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2009,20.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2010,19.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2011,18.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2012,16.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2013,14.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2014,13.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2015,13.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2016,11.0
"(EU) Daily smokers aged 15 years and above, %",Norway,female,2017,10.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2008,21.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2009,21.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2010,19.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2011,17.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2012,16.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2013,15.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2014,13.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2015,13.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2016,12.0
"(EU) Daily smokers aged 15 years and above, %",Norway,combined,2017,11.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2008,191.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2009,176.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2010,173.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2011,178.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2012,185.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2013,183.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2014,174.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2015,160.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Norway,combined,2016,149.0
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2008,3.7
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2009,3.5
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2010,3.4
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2011,3.3
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2012,3.2
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2013,3.3
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2014,3.4
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2015,3.5
(EU) Inequality of income distribution (income quintile share ratio),Norway,combined,2016,3.7
(EU) Inguinal and femoral hernia (53.0-53.3) per 100 000 inhabitants (-2010),Norway,combined,2008,144.4
(EU) Inguinal and femoral hernia (53.0-53.3) per 100 000 inhabitants (-2010),Norway,combined,2009,142.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2008,144.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2009,142.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2012,137.6
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2013,120.5
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2014,117.9
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2015,116.9
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2016,119.0
(EU) Inguinal hernia repairs per 100 000 inhabitants,Norway,combined,2017,114.4
"(EU) Life expectancy at birth, years",Norway,male,2008,78.0
"(EU) Life expectancy at birth, years",Norway,male,2009,79.0
"(EU) Life expectancy at birth, years",Norway,male,2010,79.0
"(EU) Life expectancy at birth, years",Norway,male,2011,79.0
"(EU) Life expectancy at birth, years",Norway,male,2012,80.0
"(EU) Life expectancy at birth, years",Norway,male,2013,80.0
"(EU) Life expectancy at birth, years",Norway,male,2014,80.0
"(EU) Life expectancy at birth, years",Norway,male,2015,81.0
"(EU) Life expectancy at birth, years",Norway,male,2016,81.0
"(EU) Life expectancy at birth, years",Norway,female,2008,83.0
"(EU) Life expectancy at birth, years",Norway,female,2009,83.0
"(EU) Life expectancy at birth, years",Norway,female,2010,83.0
"(EU) Life expectancy at birth, years",Norway,female,2011,84.0
"(EU) Life expectancy at birth, years",Norway,female,2012,84.0
"(EU) Life expectancy at birth, years",Norway,female,2013,84.0
"(EU) Life expectancy at birth, years",Norway,female,2014,84.0
"(EU) Life expectancy at birth, years",Norway,female,2015,84.0
"(EU) Life expectancy at birth, years",Norway,female,2016,84.0
"(EU) Life expectancy at birth, years",Norway,combined,2008,81.0
"(EU) Life expectancy at birth, years",Norway,combined,2009,81.0
"(EU) Life expectancy at birth, years",Norway,combined,2010,81.0
"(EU) Life expectancy at birth, years",Norway,combined,2011,81.0
"(EU) Life expectancy at birth, years",Norway,combined,2012,82.0
"(EU) Life expectancy at birth, years",Norway,combined,2013,82.0
"(EU) Life expectancy at birth, years",Norway,combined,2014,82.0
"(EU) Life expectancy at birth, years",Norway,combined,2015,82.0
"(EU) Life expectancy at birth, years",Norway,combined,2016,83.0
(EU) Live births / 1000 persons,Norway,combined,2008,13.0
(EU) Live births / 1000 persons,Norway,combined,2009,13.0
(EU) Live births / 1000 persons,Norway,combined,2010,13.0
(EU) Live births / 1000 persons,Norway,combined,2011,12.0
(EU) Live births / 1000 persons,Norway,combined,2012,12.0
(EU) Live births / 1000 persons,Norway,combined,2013,12.0
(EU) Live births / 1000 persons,Norway,combined,2014,12.0
(EU) Live births / 1000 persons,Norway,combined,2015,11.0
(EU) Live births / 1000 persons,Norway,combined,2016,11.0
(EU) Live births / 1000 persons,Norway,combined,2017,11.0
(EU) Long-term unemployment rate,Norway,male,2008,0.3
(EU) Long-term unemployment rate,Norway,male,2009,0.5
(EU) Long-term unemployment rate,Norway,male,2010,0.9
(EU) Long-term unemployment rate,Norway,male,2011,0.8
(EU) Long-term unemployment rate,Norway,male,2012,0.7
(EU) Long-term unemployment rate,Norway,male,2013,0.7
(EU) Long-term unemployment rate,Norway,male,2014,0.8
(EU) Long-term unemployment rate,Norway,male,2015,1.1
(EU) Long-term unemployment rate,Norway,male,2016,1.4
(EU) Long-term unemployment rate,Norway,male,2017,1.4
(EU) Long-term unemployment rate,Norway,male,2018,1.1
(EU) Long-term unemployment rate,Norway,male,2019,1.0
(EU) Long-term unemployment rate,Norway,female,2008,0.3
(EU) Long-term unemployment rate,Norway,female,2009,0.4
(EU) Long-term unemployment rate,Norway,female,2010,0.5
(EU) Long-term unemployment rate,Norway,female,2011,0.6
(EU) Long-term unemployment rate,Norway,female,2012,0.4
(EU) Long-term unemployment rate,Norway,female,2013,0.6
(EU) Long-term unemployment rate,Norway,female,2014,0.7
(EU) Long-term unemployment rate,Norway,female,2015,0.8
(EU) Long-term unemployment rate,Norway,female,2016,0.9
(EU) Long-term unemployment rate,Norway,female,2017,0.9
(EU) Long-term unemployment rate,Norway,female,2018,0.8
(EU) Long-term unemployment rate,Norway,female,2019,0.7
(EU) Old age dependency ratio,Norway,combined,2008,22.1
(EU) Old age dependency ratio,Norway,combined,2009,22.1
(EU) Old age dependency ratio,Norway,combined,2010,22.5
(EU) Old age dependency ratio,Norway,combined,2011,22.8
(EU) Old age dependency ratio,Norway,combined,2012,23.3
(EU) Old age dependency ratio,Norway,combined,2013,23.7
(EU) Old age dependency ratio,Norway,combined,2014,24.2
(EU) Old age dependency ratio,Norway,combined,2015,24.5
(EU) Old age dependency ratio,Norway,combined,2016,25.0
(EU) Old age dependency ratio,Norway,combined,2017,25.4
(EU) Population aged 0-14 as % of total population,Norway,combined,2008,19.2
(EU) Population aged 0-14 as % of total population,Norway,combined,2009,19.0
(EU) Population aged 0-14 as % of total population,Norway,combined,2010,18.9
(EU) Population aged 0-14 as % of total population,Norway,combined,2011,18.7
(EU) Population aged 0-14 as % of total population,Norway,combined,2012,18.5
(EU) Population aged 0-14 as % of total population,Norway,combined,2013,18.4
(EU) Population aged 0-14 as % of total population,Norway,combined,2014,18.2
(EU) Population aged 0-14 as % of total population,Norway,combined,2015,18.0
(EU) Population aged 0-14 as % of total population,Norway,combined,2016,17.9
(EU) Population aged 0-14 as % of total population,Norway,combined,2017,17.8
(EU) Population aged 0-14 as % of total population,Norway,combined,2018,17.7
(EU) Population aged 15-24 as % of total population,Norway,combined,2008,12.7
(EU) Population aged 15-24 as % of total population,Norway,combined,2009,12.8
(EU) Population aged 15-24 as % of total population,Norway,combined,2010,12.9
(EU) Population aged 15-24 as % of total population,Norway,combined,2011,13.1
(EU) Population aged 15-24 as % of total population,Norway,combined,2012,13.1
(EU) Population aged 15-24 as % of total population,Norway,combined,2013,13.2
(EU) Population aged 15-24 as % of total population,Norway,combined,2014,13.1
(EU) Population aged 15-24 as % of total population,Norway,combined,2015,13.0
(EU) Population aged 15-24 as % of total population,Norway,combined,2016,12.8
(EU) Population aged 15-24 as % of total population,Norway,combined,2017,12.7
(EU) Population aged 15-24 as % of total population,Norway,combined,2018,12.5
(EU) Population aged 25-49 as % of total population,Norway,combined,2008,34.9
(EU) Population aged 25-49 as % of total population,Norway,combined,2009,34.8
(EU) Population aged 25-49 as % of total population,Norway,combined,2010,34.7
(EU) Population aged 25-49 as % of total population,Norway,combined,2011,34.6
(EU) Population aged 25-49 as % of total population,Norway,combined,2012,34.6
(EU) Population aged 25-49 as % of total population,Norway,combined,2013,34.6
(EU) Population aged 25-49 as % of total population,Norway,combined,2014,34.6
(EU) Population aged 25-49 as % of total population,Norway,combined,2015,34.6
(EU) Population aged 25-49 as % of total population,Norway,combined,2016,34.6
(EU) Population aged 25-49 as % of total population,Norway,combined,2017,34.4
(EU) Population aged 25-49 as % of total population,Norway,combined,2018,34.3
(EU) Population aged 50-64 as % of total population,Norway,combined,2008,18.6
(EU) Population aged 50-64 as % of total population,Norway,combined,2009,18.7
(EU) Population aged 50-64 as % of total population,Norway,combined,2010,18.6
(EU) Population aged 50-64 as % of total population,Norway,combined,2011,18.5
(EU) Population aged 50-64 as % of total population,Norway,combined,2012,18.3
(EU) Population aged 50-64 as % of total population,Norway,combined,2013,18.2
(EU) Population aged 50-64 as % of total population,Norway,combined,2014,18.2
(EU) Population aged 50-64 as % of total population,Norway,combined,2015,18.2
(EU) Population aged 50-64 as % of total population,Norway,combined,2016,18.3
(EU) Population aged 50-64 as % of total population,Norway,combined,2017,18.4
(EU) Population aged 50-64 as % of total population,Norway,combined,2018,18.5
(EU) Population aged 65 years and over as % of total population,Norway,combined,2008,14.6
(EU) Population aged 65 years and over as % of total population,Norway,combined,2009,14.7
(EU) Population aged 65 years and over as % of total population,Norway,combined,2010,14.9
(EU) Population aged 65 years and over as % of total population,Norway,combined,2011,15.1
(EU) Population aged 65 years and over as % of total population,Norway,combined,2012,15.4
(EU) Population aged 65 years and over as % of total population,Norway,combined,2013,15.7
(EU) Population aged 65 years and over as % of total population,Norway,combined,2014,15.9
(EU) Population aged 65 years and over as % of total population,Norway,combined,2015,16.1
(EU) Population aged 65 years and over as % of total population,Norway,combined,2016,16.4
(EU) Population aged 65 years and over as % of total population,Norway,combined,2017,16.6
(EU) Population aged 65 years and over as % of total population,Norway,combined,2018,16.9
(EU) Population aged 65-79 as % of total population,Norway,combined,2008,10.0
(EU) Population aged 65-79 as % of total population,Norway,combined,2009,10.1
(EU) Population aged 65-79 as % of total population,Norway,combined,2010,10.3
(EU) Population aged 65-79 as % of total population,Norway,combined,2011,10.6
(EU) Population aged 65-79 as % of total population,Norway,combined,2012,11.0
(EU) Population aged 65-79 as % of total population,Norway,combined,2013,11.3
(EU) Population aged 65-79 as % of total population,Norway,combined,2014,11.6
(EU) Population aged 65-79 as % of total population,Norway,combined,2015,11.9
(EU) Population aged 65-79 as % of total population,Norway,combined,2016,12.2
(EU) Population aged 65-79 as % of total population,Norway,combined,2017,12.4
(EU) Population aged 65-79 as % of total population,Norway,combined,2018,12.7
(EU) Population aged 80 years and over as % of total population,Norway,combined,2008,4.6
(EU) Population aged 80 years and over as % of total population,Norway,combined,2009,4.6
(EU) Population aged 80 years and over as % of total population,Norway,combined,2010,4.5
(EU) Population aged 80 years and over as % of total population,Norway,combined,2011,4.5
(EU) Population aged 80 years and over as % of total population,Norway,combined,2012,4.4
(EU) Population aged 80 years and over as % of total population,Norway,combined,2013,4.4
(EU) Population aged 80 years and over as % of total population,Norway,combined,2014,4.3
(EU) Population aged 80 years and over as % of total population,Norway,combined,2015,4.3
(EU) Population aged 80 years and over as % of total population,Norway,combined,2016,4.2
(EU) Population aged 80 years and over as % of total population,Norway,combined,2017,4.2
(EU) Population aged 80 years and over as % of total population,Norway,combined,2018,4.2
(EU) Population at 1.1.,Norway,male,2008,2359690.0
(EU) Population at 1.1.,Norway,male,2009,2395053.0
(EU) Population at 1.1.,Norway,male,2010,2426752.0
(EU) Population at 1.1.,Norway,male,2011,2460849.0
(EU) Population at 1.1.,Norway,male,2012,2498871.0
(EU) Population at 1.1.,Norway,male,2013,2535908.0
(EU) Population at 1.1.,Norway,male,2014,2567007.0
(EU) Population at 1.1.,Norway,male,2015,2599202.0
(EU) Population at 1.1.,Norway,male,2016,2623625.0
(EU) Population at 1.1.,Norway,male,2017,2649130.0
(EU) Population at 1.1.,Norway,male,2018,2668371.0
(EU) Population at 1.1.,Norway,female,2008,2377481.0
(EU) Population at 1.1.,Norway,female,2009,2404199.0
(EU) Population at 1.1.,Norway,female,2010,2431447.0
(EU) Population at 1.1.,Norway,female,2011,2459456.0
(EU) Population at 1.1.,Norway,female,2012,2486999.0
(EU) Population at 1.1.,Norway,female,2013,2515367.0
(EU) Population at 1.1.,Norway,female,2014,2540963.0
(EU) Population at 1.1.,Norway,female,2015,2567291.0
(EU) Population at 1.1.,Norway,female,2016,2587096.0
(EU) Population at 1.1.,Norway,female,2017,2609187.0
(EU) Population at 1.1.,Norway,female,2018,2627248.0
(EU) Population at 1.1.,Norway,combined,2008,4737171.0
(EU) Population at 1.1.,Norway,combined,2009,4799252.0
(EU) Population at 1.1.,Norway,combined,2010,4858199.0
(EU) Population at 1.1.,Norway,combined,2011,4920305.0
(EU) Population at 1.1.,Norway,combined,2012,4985870.0
(EU) Population at 1.1.,Norway,combined,2013,5051275.0
(EU) Population at 1.1.,Norway,combined,2014,5107970.0
(EU) Population at 1.1.,Norway,combined,2015,5166493.0
(EU) Population at 1.1.,Norway,combined,2016,5210721.0
(EU) Population at 1.1.,Norway,combined,2017,5258317.0
(EU) Population at 1.1.,Norway,combined,2018,5295619.0
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2008,88.4
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2009,87.3
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2010,88.4
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2011,89.0
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2012,87.0
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2013,87.8
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2014,87.1
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2015,85.8
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2016,86.9
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2017,87.3
(EU) Practising dentists per 100 000 inhabitants,Norway,combined,2018,87.9
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2008,402.9
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2009,407.3
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2010,414.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2011,421.6
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2012,426.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2013,433.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2014,445.5
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2015,442.2
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2016,453.3
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2017,467.5
(EU) Practising physicians or doctors per 100 000 inhabitants,Norway,combined,2018,482.2
(EU) Projected old age dependency ratio in 2030,Norway,combined,2017,31.8
(EU) Projected old age dependency ratio in 2040,Norway,combined,2017,37.1
(EU) Projected old age dependency ratio in 2060,Norway,combined,2017,43.9
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2008,7.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2009,7.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2010,7.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2011,6.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2012,6.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2013,6.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2014,6.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2015,6.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2016,6.0
"(EU) Pure alcohol consumption, litres per capita",Norway,combined,2017,6.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2008,221.6
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2009,220.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2010,212.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2011,210.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2012,203.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2013,185.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2014,176.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,male,2015,167.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2008,136.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2009,135.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2010,134.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2011,132.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2012,123.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2013,120.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2014,113.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,female,2015,109.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2008,179.6
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2009,178.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2010,174.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2011,172.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2012,164.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2013,153.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2014,145.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Norway,combined,2015,139.6
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2008,1271.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2009,1216.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2010,1202.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2011,1229.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2012,1211.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2013,1137.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2014,1114.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,male,2015,1092.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2008,851.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2009,842.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2010,837.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2011,829.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2012,846.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2013,798.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2014,771.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,female,2015,774.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2008,1025.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2009,1001.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2010,992.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2011,996.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2012,999.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2013,941.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2014,914.0
"(EU) Standard death rates, all causes of death per 100 000",Norway,combined,2015,907.0
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2008,347.1
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2009,337.1
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2010,342.1
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2011,339.7
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2012,328.6
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2013,317.3
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2014,315.3
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,male,2015,310.0
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2008,221.7
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2009,215.6
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2010,222.1
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2011,215.6
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2012,215.5
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2013,210.3
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2014,211.9
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,female,2015,203.2
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2008,269.9
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2009,263.6
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2010,269.5
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2011,264.5
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2012,259.5
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2013,252.9
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2014,252.5
(EU) Standardised death rate due to cancer per 100 000 persons,Norway,combined,2015,245.9
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2008,7.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2009,6.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2010,7.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2011,7.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2012,6.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2013,6.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2014,5.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,male,2015,6.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2008,4.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2009,4.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2010,3.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2011,3.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2012,3.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2013,4.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2014,3.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,female,2015,3.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Norway,combined,2008,5.0
