Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
2022-09-30,3503239,61,1477082,64,181549,55,164028,57,26614,90,997765,105,6623,39
2022-10-01,2032983,61,758826,55,72081,64,80394,53,13718,78,820869,87,1855,41
2022-10-02,1621851,66,591909,59,61918,68,68450,65,13897,76,793492,94,1302,34
2022-10-03,3370048,59,1426633,63,173268,55,153913,53,25390,85,880633,95,6824,38
2022-10-04,3397689,59,1354099,60,181887,58,166868,57,25282,85,833631,90,6825,38
2022-10-05,3077346,54,1206674,54,176091,56,158117,54,24305,82,816200,88,6012,34
2022-10-06,3848909,67,1554806,69,203783,65,182247,63,28527,96,981805,106,7907,44
2022-10-07,3591080,62,1480214,66,204261,65,166955,57,26725,90,1018633,110,6865,38
2022-10-08,2397249,72,888506,64,114687,101,110122,72,15448,87,965140,102,1975,43
2022-10-09,1917721,78,691656,69,97984,108,88783,84,14776,80,911141,108,2200,58
2022-10-10,2556722,44,1034288,46,163310,52,152488,52,17806,60,845129,91,4220,24
2022-10-11,3649405,63,1521587,68,203885,65,192887,66,26435,89,899509,97,7841,44
2022-10-12,3776129,66,1554226,69,203866,65,185488,64,28193,95,945786,102,7820,44
2022-10-13,3682799,64,1463795,65,195360,62,173174,60,26422,89,935038,101,7593,43
2022-10-14,3578772,62,1468602,65,186594,59,170188,59,26877,90,1000719,108,6877,39
2022-10-15,2363501,71,914771,66,100804,89,108230,71,15945,90,964859,102,1897,42
2022-10-16,1773903,72,705073,70,80395,88,85438,81,15338,84,898969,106,1385,37
2022-10-17,3314497,58,1430672,63,182855,58,170716,59,24045,81,860596,93,6952,39
2022-10-18,3693627,64,1510826,67,199026,63,191540,66,26135,88,894481,96,7917,44
2022-10-19,3814404,66,1545140,69,202921,65,185202,64,28002,94,916246,99,7934,44
2022-10-20,3810901,66,1532692,68,201886,64,180234,62,27649,93,970479,105,7784,44
2022-10-21,3570334,62,1452280,64,185797,59,166539,57,26385,89,997993,108,6848,38
2022-10-22,2430406,73,916539,66,97921,86,122863,81,15832,90,970862,103,90,2
2022-10-23,1740520,71,668183,67,76024,83,83665,80,14434,79,872119,103,19,1
2022-10-24,3357840,58,1432728,64,182390,58,161772,56,24643,83,887372,96,6929,39
2022-10-25,3712582,65,1512725,67,200671,64,183507,63,27080,91,903935,97,7864,44
2022-10-26,3794534,66,1539557,68,201843,64,181254,62,27891,94,932571,100,7978,45
2022-10-27,3892985,68,1543031,68,196789,63,179032,62,28035,94,971657,105,7848,44
2022-10-28,3624748,63,1455834,65,179633,57,159109,55,26237,88,992291,107,6647,37
2022-10-29,2440601,73,912721,66,86888,77,102975,68,15778,89,949043,100,42,1
2022-10-30,1875953,76,711004,71,69358,76,80576,77,15324,83,903170,107,5,0
2022-10-31,3410892,59,1394453,62,177547,56,157055,54,24178,81,862337,93,6759,38
2022-11-01,3706707,66,1501329,69,196102,60,178425,62,26993,86,911552,97,7756,46
2022-11-02,3788123,67,1549724,71,198277,60,181158,63,28493,91,918835,97,7788,46
2022-11-03,3802455,67,1521975,70,197940,60,178498,62,28364,91,941513,100,7676,45
2022-11-04,3586358,64,1459619,67,180084,55,161378,56,27340,88,975347,103,6813,40
2022-11-05,2449943,78,918127,70,96845,84,110793,73,16790,99,940206,103,2628,76
2022-11-06,2116063,84,648085,65,92648,98,94517,91,13926,74,779295,95,3122,102
2022-11-07,3456868,61,1478731,68,190295,58,168401,59,26193,84,901997,96,7365,43
2022-11-08,3431700,61,1356894,62,201028,61,183142,64,25939,83,888462,94,6463,38
2022-11-09,3772030,67,1517250,69,199030,61,180581,63,28589,92,921392,98,7722,45
2022-11-10,3802230,67,1516812,69,203722,62,180584,63,28385,91,976695,104,7749,46
2022-11-11,2994708,119,1077574,108,172756,183,154511,148,20634,110,870209,106,4558,149
2022-11-12,2431419,77,893837,68,94911,82,106101,70,15153,89,889070,98,2262,65
2022-11-13,1794024,71,662034,66,76869,81,76460,73,15544,83,859975,104,1658,54
2022-11-14,3401075,60,1441705,66,181582,55,165573,58,25728,82,889804,94,7135,42
2022-11-15,3713627,66,1483782,68,196179,60,182790,64,28155,90,903257,96,7776,46
2022-11-16,3751773,67,1484607,68,194893,59,179233,63,28574,92,912685,97,7589,45
2022-11-17,3797815,67,1493119,68,193797,59,178147,62,28778,92,962670,102,7633,45
2022-11-18,3539202,63,1412974,65,183576,56,161777,57,27236,87,981421,104,6546,38
2022-11-19,2323449,74,864766,66,97654,85,101076,67,16076,95,929687,102,1630,47
2022-11-20,1721187,68,645986,65,74524,79,74870,72,15556,83,830876,101,1079,35
2022-11-21,3363626,60,1393031,64,185570,57,166517,58,25766,83,896487,95,7017,41
2022-11-22,3548882,63,1447618,66,200264,61,183771,64,27957,90,982740,104,7462,44
2022-11-23,3263998,58,1358016,62,210438,64,184135,64,25032,80,983719,104,6862,40
2022-11-24,1382266,55,515903,52,90771,96,90057,87,18369,98,859064,104,2006,65
2022-11-25,2058658,82,842892,85,163354,173,148368,143,12834,68,766290,93,3361,110
2022-11-26,1999608,63,781665,59,105304,91,106685,71,12576,74,852829,94,2286,66
2022-11-27,1476228,59,562073,56,79973,85,76680,74,13063,69,814703,99,1408,46
2022-11-28,3265971,58,1397963,64,186710,57,163694,57,24969,80,904337,96,7120,42
2022-11-29,3596894,64,1455294,66,192494,59,181370,63,27009,87,891057,94,7510,44
2022-11-30,3568413,63,1356729,62,189152,58,177367,62,26469,85,857882,91,7204,42
2022-12-01,3770495,71,1459934,73,181825,58,166856,60,27018,93,931376,105,7538,48
2022-12-02,3600504,67,1395642,70,172860,55,152746,55,27007,93,933219,105,6576,42
2022-12-03,2291687,69,760109,60,87730,68,89976,57,15540,90,815868,92,1467,30
2022-12-04,1990479,78,681713,70,81381,76,80173,75,15763,88,804122,101,1266,37
2022-12-05,3481640,65,1429308,71,183238,58,164873,59,26409,91,873767,99,7013,45
2022-12-06,3753299,70,1414979,71,195892,62,178862,64,27305,94,878388,99,7447,48
2022-12-07,3835333,72,1442871,72,194436,62,178345,64,27941,96,899007,101,7526,48
2022-12-08,3931499,74,1480877,74,192958,61,182314,65,28292,97,948091,107,7541,48
2022-12-09,3710928,69,1386473,69,185104,59,165147,59,26213,90,964167,109,6379,41
2022-12-10,2663493,80,869320,69,112142,88,119858,76,16232,94,900034,102,1873,38
2022-12-11,1865579,73,618870,63,77607,73,74273,69,14949,84,777867,98,1103,32
2022-12-12,3466978,65,1384864,69,182973,58,163516,59,25771,88,876300,99,6838,44
2022-12-13,3763568,70,1437228,72,197613,63,183214,66,28234,97,908198,103,7570,49
2022-12-14,3777173,71,1435020,72,196921,62,183484,66,29081,100,940858,106,7400,47
2022-12-15,3726154,70,1363160,68,191261,61,173709,62,27034,93,931870,105,7001,45
2022-12-16,3270016,61,1221634,61,170615,54,151244,54,24074,83,917332,104,5823,37
2022-12-17,2577771,78,884283,70,114272,89,123286,78,16788,97,933667,106,2071,42
2022-12-18,1967199,77,668994,68,87146,82,87425,81,16036,90,842911,106,1487,44
2022-12-19,3381411,63,1352455,68,178278,56,159383,57,25529,88,886717,100,6591,42
2022-12-20,3586084,67,1398728,70,191991,61,173346,62,27148,93,923333,104,7046,45
2022-12-21,3563236,67,1393290,70,191684,61,168379,60,28480,98,953676,108,6993,45
2022-12-22,3187083,60,1269330,63,177675,56,147366,53,25244,87,936662,106,5728,37
2022-12-23,2738016,51,1057686,53,163716,52,138857,50,20359,70,812831,92,4523,29
2022-12-24,1411469,43,497129,39,61701,48,60373,38,12759,74,746316,84,1304,26
2022-12-25,1008452,40,321245,33,51896,49,47454,44,13709,77,730783,92,1005,30
2022-12-26,1812842,71,644828,66,87401,82,89137,83,9327,52,764686,96,2214,65
2022-12-27,2729514,51,1027687,51,178880,57,156503,56,21363,73,881989,100,5228,34
2022-12-28,2947028,55,1088279,54,182226,58,163499,59,23571,81,891790,101,5407,35
2022-12-29,3039432,57,1099513,55,189075,60,167129,60,23200,80,916565,103,5597,36
2022-12-30,3063480,57,1087122,54,193989,61,176215,63,22951,79,926881,105,5338,34
2022-12-31,1927101,58,651474,51,81590,64,81198,52,14090,82,686434,78,1847,37
2023-01-01,1675507,80,475226,52,67722,82,66309,73,11476,85,737533,108,1771,65
2023-01-02,1938154,93,739507,81,76247,92,72403,80,10136,75,692984,102,2671,98
2023-01-03,3175777,62,1268913,62,179109,59,167136,62,24868,88,815532,94,6853,42
2023-01-04,3413052,66,1391449,68,182834,61,170847,63,26848,95,839120,97,7282,44
2023-01-05,3428520,67,1378698,67,175278,58,166642,62,26808,95,859218,99,7042,43
2023-01-06,3229858,63,1319595,64,161259,53,142524,53,25824,91,873654,101,6050,37
2023-01-07,2116138,78,806981,67,87215,90,85244,66,14828,102,808570,106,2297,56
2023-01-08,1610764,77,628612,68,68647,83,64893,72,15157,112,739656,108,1529,56
2023-01-09,3145743,61,1353638,66,173594,57,157335,58,24923,88,829372,95,6629,40
2023-01-10,3469177,67,1412543,69,196817,65,179530,67,27309,97,859974,99,7414,45
2023-01-11,3508962,68,1421914,69,188904,63,174349,65,27991,99,864282,99,7166,44
2023-01-12,3472709,68,1364715,67,188850,62,168701,63,27119,96,881579,101,7150,44
2023-01-13,3270020,64,1345748,66,167475,55,147885,55,26085,92,922864,106,6042,37
2023-01-14,2072387,77,785952,66,84718,87,83565,64,15407,106,817979,107,2059,50
2023-01-15,1705804,82,621041,68,72479,88,70493,78,15198,113,757778,111,1510,55
2023-01-16,2172218,104,884152,96,82416,100,75892,84,14617,108,812347,119,3140,115
2023-01-17,3451604,67,1399573,68,193345,64,183674,68,27214,96,870650,100,7492,46
2023-01-18,3603344,70,1449590,71,198264,66,182209,68,29223,103,877542,101,7488,46
2023-01-19,3492226,68,1327804,65,179752,59,170122,63,26737,95,862336,99,6925,42
2023-01-20,3375887,66,1383181,68,173943,58,150003,56,26548,94,915022,105,6192,38
2023-01-21,2137169,79,823236,69,88435,91,84763,65,15580,107,826850,108,2058,50
2023-01-22,1593386,76,611151,67,64883,78,61728,68,14721,109,744230,109,1479,54
2023-01-23,3135214,61,1281037,63,172927,57,155439,58,25087,89,809261,93,6210,38
2023-01-24,3566756,69,1410676,69,196319,65,182127,68,27701,98,863886,99,7335,45
2023-01-25,3511071,68,1342717,66,188247,62,171748,64,26738,95,815210,94,6937,42
2023-01-26,3629029,71,1408545,69,190219,63,173696,65,27061,96,890830,103,7093,43
2023-01-27,3335372,65,1341589,66,178881,59,149763,56,26826,95,920095,106,6051,37
2023-01-28,2248107,83,861680,72,98609,101,89845,69,15577,107,841863,110,2333,57
2023-01-29,1637398,78,647923,71,73109,88,65422,72,15371,114,764625,112,1694,62
2023-01-30,3223530,63,1371537,67,180476,60,159176,59,25676,91,850406,98,6624,40
2023-01-31,3654404,71,1365926,67,198755,66,183484,68,27308,97,852930,98,7593,46
2023-02-01,3682758,68,1460146,68,184043,61,169846,63,28492,97,868518,98,7588,47
2023-02-02,3699932,68,1478477,69,187799,62,169864,63,27917,95,894790,101,7457,46
2023-02-03,3189550,59,1246821,58,158579,52,135908,50,26238,89,887417,100,5819,36
2023-02-04,1742435,61,598818,47,69433,74,64032,49,13439,83,737000,89,1555,36
2023-02-05,1625375,74,650623,67,69379,89,62639,69,15413,91,758529,101,1522,54
2023-02-06,3372445,62,1431232,67,181320,60,157813,59,26639,91,849008,96,7068,44
2023-02-07,3738539,69,1491417,69,201438,67,183389,68,28688,97,867827,98,7736,48
2023-02-08,3780682,70,1513135,70,197370,65,180852,67,29653,101,884755,100,7647,47
2023-02-09,3754859,69,1462622,68,193326,64,172507,64,28515,97,909007,103,7403,46
2023-02-10,3539529,65,1422781,66,179637,59,154760,57,28094,95,947991,107,6477,40
2023-02-11,2333625,81,865782,68,94434,101,88281,67,16638,102,865505,104,1615,38
2023-02-12,1746099,80,659496,68,67457,86,63383,69,16305,97,749533,99,1227,44
2023-02-13,3303337,61,1381524,64,180002,59,159741,59,25900,88,854394,97,6188,38
2023-02-14,3812943,70,1480867,69,200327,66,179811,67,29001,99,897813,102,7557,47
2023-02-15,3762817,69,1499155,70,197344,65,181992,68,29119,99,904926,102,7491,46
2023-02-16,3683782,68,1461093,68,189802,63,172189,64,28364,96,915758,104,7318,45
2023-02-17,3253165,60,1315466,61,172113,57,150151,56,26759,91,936689,106,5892,36
2023-02-18,2271106,79,822505,65,91478,98,93213,71,15612,96,860646,103,1266,30
2023-02-19,1824136,83,639980,66,75448,97,75064,82,16165,96,784650,104,959,34
2023-02-20,2238557,102,929439,95,90371,116,79984,88,14818,88,809578,107,1547,55
2023-02-21,3325542,61,1273578,59,194967,64,174283,65,27224,93,864047,98,6525,40
2023-02-22,3454362,64,1305744,61,193753,64,171187,64,27895,95,869960,98,6538,40
2023-02-23,3498367,64,1328927,62,188438,62,167193,62,27336,93,906322,103,6695,41
2023-02-24,3246699,60,1246797,58,179793,59,153058,57,26077,89,928057,105,5551,34
2023-02-25,2043635,71,800947,63,86403,92,81742,62,15461,95,831613,100,1396,33
2023-02-26,1625191,74,676041,69,74226,95,67702,74,15891,94,807475,107,1095,39
2023-02-27,3337916,62,1423292,66,180277,60,160346,60,26730,91,854625,97,6752,42
2023-02-28,3412079,63,1349173,63,177532,59,139326,52,26116,89,751643,85,6690,41
2023-03-01,3780713,68,1511792,67,192142,61,176661,64,29449,99,901530,98,7403,46
2023-03-02,3765925,68,1493623,67,195243,62,176678,64,28978,97,934427,101,7434,47
2023-03-03,3481830,63,1417670,63,172623,55,150603,55,27298,92,933992,101,6167,39
2023-03-04,2173217,71,870341,65,96720,90,84352,62,16263,96,844751,97,1449,29
2023-03-05,1772121,77,712408,72,81079,93,72918,77,16956,96,831376,103,1215,39
2023-03-06,3427019,62,1460599,65,185896,59,163314,59,27550,93,875696,95,6849,43
2023-03-07,3773780,68,1490272,66,205559,66,186615,68,28417,96,887227,96,7607,48
2023-03-08,3842861,69,1514182,68,203258,65,186940,68,30476,102,918426,100,7452,47
2023-03-09,3827656,69,1515155,68,201711,64,186197,68,29847,100,944406,102,7211,45
2023-03-10,3502339,63,1408909,63,182873,58,160550,58,28209,95,964271,105,6135,38
2023-03-11,2230530,73,821990,62,78979,73,88667,65,15493,91,842108,97,1796,35
2023-03-12,1773585,77,686039,69,75970,88,70403,75,16644,94,832873,103,1547,49
2023-03-13,3352388,60,1377045,61,179787,57,157310,57,26027,88,852961,93,6358,40
2023-03-14,3577250,64,1360497,61,189402,60,159031,58,26262,88,775384,84,6866,43
2023-03-15,3912366,70,1493605,67,205092,65,187128,68,29687,100,916918,100,7473,47
2023-03-16,3949788,71,1522248,68,209838,67,187573,68,30151,101,976134,106,7562,47
2023-03-17,3661519,66,1408472,63,199191,64,171443,62,28094,94,965113,105,6790,43
2023-03-18,2417873,79,921569,69,102021,95,101788,75,16828,99,924274,106,1839,36
2023-03-19,1894476,83,661736,67,82032,95,72936,77,16471,93,880371,109,1247,40
2023-03-20,3442589,62,1444823,64,191367,61,167256,61,26951,91,896248,97,6895,43
2023-03-21,3801084,68,1511670,67,213026,68,189925,69,29466,99,918684,100,7850,49
2023-03-22,3797399,68,1509096,67,202826,65,184321,67,29999,101,920292,100,7589,48
2023-03-23,3774396,68,1466839,65,200870,64,177877,65,29189,98,934634,101,7208,45
2023-03-24,3534300,63,1420346,63,188352,60,159574,58,27883,94,959147,104,6133,38
2023-03-25,2153554,70,784068,59,89101,83,82702,61,15556,92,830547,95,1765,35
2023-03-26,1939984,85,724870,73,83054,96,81819,87,16878,96,871824,108,1648,52
2023-03-27,3397258,61,1426226,64,192461,61,166543,60,26394,89,885237,96,6675,42
2023-03-28,3765920,68,1490842,67,207837,66,189294,69,28923,97,894984,97,7541,47
2023-03-29,3872948,70,1521968,68,208736,67,187520,68,29771,100,922903,100,7825,49
2023-03-30,3860289,69,1486845,66,200601,64,187344,68,29363,99,957635,104,7512,47
2023-03-31,3573735,64,1423686,64,184342,59,158879,58,28599,96,977962,106,6426,40
2023-04-01,2283533,72,842213,63,82140,72,88096,59,16428,98,856286,94,1520,30
2023-04-02,1949665,80,716880,72,76059,83,79027,77,17660,95,855422,99,1319,40
2023-04-03,3597785,65,1475017,67,182947,59,162370,57,27387,95,899177,96,7076,44
2023-04-04,3906882,70,1519740,70,200063,64,188769,66,29698,103,913561,97,7633,47
2023-04-05,3799965,68,1432322,66,205060,66,185283,65,29462,102,938533,100,7163,44
2023-04-06,3421271,61,1264311,58,193340,62,169192,59,27061,94,914933,97,6122,38
2023-04-07,3130675,56,1150222,53,187800,60,159262,56,23831,82,900772,96,4925,30
2023-04-08,2393347,76,882727,66,108740,95,99273,67,16256,97,872566,96,2393,47
2023-04-09,1855826,76,654259,66,98030,107,85620,83,19026,102,904505,104,1916,59
2023-04-10,3142740,56,1236634,57,191412,62,170713,60,24135,83,922582,98,6121,38
2023-04-11,3537843,63,1316710,60,210828,68,193831,68,27777,96,895251,95,7081,44
2023-04-12,3576687,64,1311418,60,207802,67,191574,67,28326,98,890891,95,6863,42
2023-04-13,3628304,65,1311906,60,200072,64,183658,64,28451,98,939226,100,6668,41
2023-04-14,3471420,62,1294357,59,190858,61,173790,61,27514,95,989052,105,5869,36
2023-04-15,2365464,75,890050,67,99793,87,103902,70,16804,101,916008,100,1743,34
2023-04-16,1864753,77,728462,73,80318,88,85026,83,16835,90,881923,102,1309,40
2023-04-17,3418834,61,1438043,66,188445,61,167759,58,27611,95,897271,95,6926,43
2023-04-18,3862133,69,1526133,70,207882,67,194548,68,29658,103,929653,99,7879,49
2023-04-19,3927706,70,1530452,70,206116,66,195085,68,30829,107,952981,101,7889,49
2023-04-20,4002433,72,1520258,70,208664,67,189699,66,30106,104,1014633,108,7577,47
2023-04-21,3492257,63,1310737,60,195442,63,174727,61,27777,96,994549,106,6005,37
2023-04-22,2506140,79,893014,67,106134,93,106032,71,16865,101,931077,102,1715,34
2023-04-23,1923243,79,673668,68,87793,96,79003,77,15947,85,880726,102,1326,41
2023-04-24,3561262,64,1466762,67,196593,63,173997,61,27254,94,911973,97,7020,43
2023-04-25,3956922,71,1529162,70,216767,70,192115,67,29504,102,927611,99,7806,48
2023-04-26,3994837,72,1531476,70,216097,70,191885,67,30191,104,947254,101,7758,48
2023-04-27,3999831,72,1506783,69,216674,70,184365,64,29969,104,981809,104,7564,47
2023-04-28,3703088,66,1424078,65,195436,63,160861,56,28306,98,996548,106,6441,40
2023-04-29,2179978,69,715608,54,85167,75,77009,52,15688,94,832504,91,1871,37
2023-04-30,1744098,72,578075,58,75065,82,65334,63,15451,83,786171,91,1355,42
2023-05-01,3664755,64,1465598,64,188566,59,167178,58,27445,93,922971,96,6960,40
2023-05-02,3961858,69,1498566,66,211550,66,197217,69,29472,100,916459,95,7749,45
2023-05-03,4030601,70,1533714,67,209450,66,195363,68,30850,105,940822,98,7862,45
2023-05-04,3985001,70,1497427,66,206323,65,189538,66,30449,104,966836,100,7417,43
2023-05-05,3759375,66,1450598,64,200675,63,170610,60,28952,98,1011491,105,6514,37
2023-05-06,2563102,80,934630,67,111525,94,103318,69,18349,106,976630,102,2584,53
2023-05-07,2033790,85,705419,73,92076,94,83007,80,17822,105,902067,106,2705,77
2023-05-08,3563340,62,1460932,64,198056,62,180789,63,27771,94,935045,97,7196,41
2023-05-09,3925555,69,1524892,67,221290,69,205069,72,29923,102,955033,99,7827,45
2023-05-10,4014009,70,1528140,67,221747,69,203414,71,31360,107,981586,102,7998,46
2023-05-11,4015942,70,1535264,67,210683,66,201006,70,30899,105,1016578,106,7619,44
2023-05-12,3723192,65,1436385,63,201367,63,185027,65,29397,100,1043802,108,6629,38
2023-05-13,2487178,77,918257,66,113810,96,109940,73,18340,106,1008311,105,1973,41
2023-05-14,1926966,81,690606,72,102178,105,101088,97,20222,119,981015,115,1654,47
2023-05-15,3553443,62,1440741,63,201209,63,184909,65,25892,88,947897,98,6956,40
2023-05-16,4002015,70,1519397,67,227489,71,207484,72,29747,101,965091,100,7930,46
2023-05-17,4104786,72,1518546,67,223059,70,206630,72,30423,103,985531,102,7118,41
2023-05-18,4082154,71,1492657,66,218955,69,198433,69,29842,101,1008886,105,7530,43
2023-05-19,3789929,66,1431269,63,208310,65,181114,63,28381,97,1024064,106,6362,37
2023-05-20,2314672,72,760830,55,102957,87,95625,63,16570,96,888784,93,1970,41
2023-05-21,2132724,89,727850,76,103484,106,91335,88,17545,103,959948,113,1919,55
2023-05-22,3571748,62,1446015,64,203122,64,186008,65,27038,92,942741,98,6935,40
2023-05-23,3929003,69,1500973,66,219619,69,214621,75,29538,100,953703,99,7928,46
2023-05-24,3960264,69,1499943,66,219886,69,208487,73,30495,104,983724,102,7667,44
2023-05-25,3859385,67,1459601,64,215946,68,201855,71,29311,100,1007341,105,7183,41
2023-05-26,3496511,61,1370252,60,207347,65,187188,65,27037,92,994185,103,5747,33
2023-05-27,2375741,74,848442,61,116439,98,120011,80,16731,97,925766,97,2913,60
2023-05-28,2029088,85,707787,73,102985,106,102009,98,17527,103,906089,106,2426,69
2023-05-29,1952779,82,758893,79,99456,102,86149,83,12121,71,836613,98,2520,72
2023-05-30,3714864,65,1438285,63,227623,71,205661,72,27645,94,959824,100,7398,43
2023-05-31,3911382,68,1480801,65,229227,72,211998,74,30078,102,971602,101,7691,44
2023-06-01,3894167,69,1457503,68,210483,63,191410,65,30088,103,1006107,102,7152,44
2023-06-02,3626490,65,1399462,65,202543,61,170399,58,29570,101,1011244,103,6470,40
2023-06-03,2411704,75,899212,64,115723,94,102668,65,18118,105,958346,97,1837,36
2023-06-04,1988330,76,714218,66,103120,105,88859,81,18429,102,931347,101,1573,40
2023-06-05,3544106,63,1432156,67,200806,60,183510,62,27920,95,938818,95,6892,43
2023-06-06,3929131,70,1474317,69,218376,66,213292,72,29999,102,945555,96,7795,48
2023-06-07,3743889,67,1390834,65,212982,64,202951,69,31147,106,941798,96,7334,45
2023-06-08,3268529,58,1216291,57,189487,57,176985,60,27689,95,932162,95,5503,34
2023-06-09,3425232,61,1256670,58,214001,64,185677,63,25845,88,1005974,102,5482,34
2023-06-10,2608756,81,892936,64,139304,113,117616,74,17996,104,991238,101,1978,39
2023-06-11,2075651,79,695200,64,106971,109,98115,90,17958,99,976811,106,1582,41
2023-06-12,3479404,62,1394575,65,202015,61,185343,63,27520,94,939370,96,6744,42
2023-06-13,3968160,71,1500122,70,233588,70,212364,72,30441,104,971010,99,7850,48
2023-06-14,3893073,69,1434687,67,235667,71,207746,70,30661,105,971437,99,7234,45
2023-06-15,3928393,70,1475300,69,228608,69,206188,70,31298,107,1028832,105,7390,46
2023-06-16,3395938,61,1300751,61,214883,65,177916,60,28693,98,1025514,104,5960,37
2023-06-17,2399521,74,872453,62,138654,113,111460,70,17967,104,1000053,102,2632,52
2023-06-18,1977582,76,707615,65,119996,122,95597,88,19384,107,971860,105,2029,52
2023-06-19,2636887,101,1075747,99,196645,200,168591,154,17494,97,964071,104,4094,105
2023-06-20,3782810,67,1434258,67,235806,71,224371,76,29482,101,979074,100,7540,47
2023-06-21,3902298,70,1430476,67,242162,73,221141,75,31019,106,999201,102,7551,47
2023-06-22,3782472,67,1367709,64,233588,70,208969,71,29220,100,1013372,103,6956,43
2023-06-23,3470575,62,1282954,60,222283,67,188373,64,28619,98,1022942,104,6167,38
2023-06-24,2467994,77,844674,60,128075,104,109217,69,16937,98,951605,97,2551,50
2023-06-25,2222704,85,689020,63,123527,125,113238,104,17103,95,948428,103,2248,58
2023-06-26,3341322,60,1314743,61,218393,66,185070,63,26823,92,962862,98,6516,40
2023-06-27,3744227,67,1391914,65,231738,70,209234,71,29246,100,969784,99,7633,47
2023-06-28,3634270,65,1305832,61,233457,70,207293,70,29092,99,988315,101,6762,42
2023-06-29,3653631,65,1307649,61,233625,70,200724,68,28876,99,1036568,105,6946,43
2023-06-30,3259767,58,1248822,58,219673,66,178064,60,28028,96,1043286,106,5817,36
2023-07-01,2239529,79,859295,64,120270,94,99597,64,17093,108,956890,103,2745,54
2023-07-02,1783757,76,668297,61,92780,89,74415,70,16717,101,832828,94,1988,56
2023-07-03,2662052,50,1117930,54,149641,47,128417,45,23795,84,860662,90,4718,34
2023-07-04,1791179,77,631937,58,96458,92,84010,79,13059,79,715453,81,2305,65
2023-07-05,3318379,63,1296583,63,211448,67,189434,67,28774,101,963342,100,6472,47
2023-07-06,3494806,66,1333630,64,209335,66,186822,66,29894,105,959636,100,6608,48
2023-07-07,3292266,62,1273900,61,197892,62,171597,61,28609,101,977009,102,5868,43
2023-07-08,2308794,82,867047,64,120931,95,107854,70,17879,113,949008,103,2695,53
2023-07-09,1776607,76,651953,59,95243,91,83783,79,16695,101,869686,98,1914,54
2023-07-10,3208730,61,1307297,63,196506,62,171497,61,27354,96,925569,96,6175,45
2023-07-11,3613670,68,1381701,67,221923,70,200151,71,30085,106,952112,99,7149,52
2023-07-12,3696737,70,1383484,67,218097,69,199169,70,31015,109,977898,102,6901,50
2023-07-13,3648007,69,1359302,66,218715,69,190952,67,29980,106,990761,103,6888,50
2023-07-14,3209393,61,1231624,59,198119,63,163840,58,28489,100,986748,103,5588,41
2023-07-15,2326054,82,889709,66,124007,97,107124,69,18043,114,983132,106,2409,47
2023-07-16,1599858,68,583645,53,89763,86,72406,68,16496,100,817659,92,1559,44
2023-07-17,3282092,62,1310810,63,205378,65,182216,64,27637,97,964710,100,6345,46
2023-07-18,3584819,68,1313665,63,225299,71,204203,72,29105,103,944208,98,6766,49
2023-07-19,3679343,70,1342781,65,224202,71,203857,72,30527,108,969944,101,6938,50
2023-07-20,3711017,70,1333607,64,224327,71,197400,70,29745,105,1004167,104,6858,50
2023-07-21,3227154,61,1211839,58,201177,64,176892,62,27485,97,1000836,104,5389,39
2023-07-22,2459990,87,894490,66,133328,104,93215,60,18283,115,1005606,109,2117,42
2023-07-23,1984503,85,723774,66,116485,111,94729,89,18021,109,988636,112,1511,42
2023-07-24,3255379,62,1302964,63,206025,65,180716,64,27222,96,948855,99,6175,45
2023-07-25,3630414,69,1307716,63,226651,72,211053,75,29285,103,939926,98,7050,51
2023-07-26,3758378,71,1382345,67,226363,71,210315,74,30501,108,977673,102,7298,53
2023-07-27,3580012,68,1313385,63,219460,69,187729,66,28692,101,973315,101,6788,49
2023-07-28,3266199,62,1246295,60,205845,65,170128,60,27522,97,1023958,107,5631,41
2023-07-29,2251524,80,856921,63,120457,94,100508,65,16747,105,957063,104,2314,45
2023-07-30,1952433,83,705279,64,116784,111,91861,87,17450,106,989071,112,2077,58
2023-07-31,3204920,61,1283835,62,205976,65,185348,65,26682,94,969712,101,6161,45
2023-08-01,3598379,70,1357252,67,221518,71,199547,73,29354,105,954649,98,7060,53
2023-08-02,3640307,71,1359233,67,219641,70,201003,74,30380,109,964978,99,6913,52
2023-08-03,3609076,70,1350472,67,220565,71,197044,72,30483,109,994978,102,6753,50
2023-08-04,3228510,63,1241122,61,193528,62,171533,63,28128,101,987994,102,5593,42
2023-08-05,2364364,80,879423,64,122596,92,114660,76,18835,113,969702,101,2838,60
2023-08-06,1910841,80,715130,65,107399,103,96010,92,18805,105,956499,104,2171,60
2023-08-07,3041001,59,1208443,60,191530,61,163799,60,27174,97,901342,93,5884,44
2023-08-08,3510047,68,1339073,66,218555,70,193867,71,29435,105,933802,96,7035,53
