Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"Chile:  Northern, 1922",,,,,,-28,-72,,,,,,,,,,
"Afghanistan:  Hindu Kush, 1922",,,,,,36.5,70.5,,,,,,,,,,
"Russia:  Kamchatka Peninsula, 1923",,,,,,55,162.4,,,,,,,,,,
"Chile:  Vallenar, 1923",,,,,,-28.75,-71.75,,,,,,,,,,
"Kashima, Japan, 1923",,,,,,35.4,141.8,,,,,,,,,,
"Chile:  Northern, 1923",,,,,,-18.5,-70.3,,,,,,,,,,
"Japan:  Near S Coast Honshu, 1923",,,,,,34.9,140.2,,,,,,,,,,
"Indonesia:  Djailolo Gilolo, 1923",,,,,,-1.75,128.75,,,,,,,,,,
"Papua New Guinea:   Bismarck Archipelago, 1923",,,,,,-4.5,151.5,,,,,,,,,,
"Papua New Guinea:   Bismarck Archipelago, 1923",,,,,,-5,152,,,,,,,,,,
"Russia:  Sakhalin Island, 1924",,,,,,49.179,142.436,,,,,,,,,,
"Philippines:  Agno, 1924",,,,,,16,118,,,,,,,,,,
"Australia:  Macquarie Island, 1924",,,,,,-56,157.5,,,,,,,,,,
"Russia:  Kuril Islands, 1924",,,,,,44.737,147.416,,,,,,,,,,
"Australia:  Macquarie Island:  North Of, 1924",,,,,,-49.5,159,,,,,,,,,,
"Iceland: Reykjavik, 1924",,,,,,64.15,-21.95,,,,,,,,,,
"Gulf Of Alaska, 1925",,,,,,60,-146,,,,,,,,,,
"Vanuatu Islands, 1925",,,,,,-18.5,168.5,,,,,,,,,,
"Chile:  Northern, 1925",,,,,,-26,-71.5,,,,,,,,,,
"Nicaragua:  Managua, 1925",,,,,,12.2,-85.2,,,,,,,,,,
"North Atlantic Ridge, 1925",,,,,,11,-42,,,,,,,,,,
"S. Mexico, 1925",,,,,,18.5,-107,,,,,,,,,,
"Hawaii, 1926",,,,,,20.5,-155.5,,,,,,,,,,
"Solomon Islands, 1926",,,,,,-10,161,,,,,,,,,,
"Japan:  Ryukyu Islands, 1926",,,,,,27,127,,,,,,,,,,
"Solomon Islands, 1926",,,,,,-9.674,159.519,,,,,,,,,,
"Australia:  Macquarie Island:  North Of, 1926",,,,,,-49,161,,,,,,,,,,
"Balkans Nw:  Montenegro: Berane, Crna Gora, 1926",,,,,,42.6,18.5,,,,,,,,,,
"Indonesia:  New Guinea:  Irian Jaya, 1926",,,,,,-3.5,138.5,,,,,,,,,,
"Nicaragua:  Managua,Granada,Masaya,Chinandega, 1926",,,,,,12.3,-85.8,,,,,,,,,,
"Chile:  Vallenar, 1926",,,,,,-28,-71,,,,,,,,,,
"Morocco:  Fes (Fez), 1926",,,,,,34,-4.6,,,,,,,,,,
"California, Mexico, 1927",,,,,,32.5,-115.5,,,,,,,,,,
"Sanriku, Japan, 1927",,,,,,37.9,142,,,,,,,,,,
"Kashima, Japan, 1927",,,,,,34.2,142,,,,,,,,,,
"Chile:  Southern, 1927",,,,,,-44.6,-73,,,,,,,,,,
"Russia:  Kamchatka, 1927",,,,,,55.663,160.039,,,,,,,,,,
"British Columbia, 1928",,,,,,49,-125,,,,,,,,,,
"Mexico:  Oaxaca,Colima,Puebla,Guerrero,Morelos, 1928",,,,,,17.8,-97.6,,,,,,,,,,
"Indian Ocean:  S, 1928",,,,,,-2.5,88.5,,,,,,,,,,
"New Caledonia:  Loyalty Islands, 1928",,,,,,-22,170.5,,,,,,,,,,
"Mexico:  Oaxaca, 1928",,,,,,15.67,-96.1,,,,,,,,,,
"Mexico:  Oaxaca, 1928",,,,,,17.75,-97.1,,,,,,,,,,
"Greece:  Aegean Sea, 1928",,,,,,38,23.5,,,,,,,,,,
"Island Of Lifuka, Tonga Islands, 1928",,,,,,-19.8,-174.345,,,,,,,,,,
"Sanriku, Japan, 1928",,,,,,40,143.2,,,,,,,,,,
"Mexico:  Oaxaca, 1928",,,,,,16,-97,,,,,,,,,,
"Chile:  Northern, 1928",,,,,,-22.5,-70.5,,,,,,,,,,
"Afghanistan:  Hindu Kush, 1929",,,,,,36.5,70.5,,,,,,,,,,
"Japan:  Hiuganada, 1929",,,,,,31.7,132.2,,,,,,,,,,
"Canada: Queen Charlotte Islands, 1929",,,,,,51,-131,,,,,,,,,,
"Myanmar (Burma):  Myitkyina, 1929",,,,,,25.2,97.2,,,,,,,,,,
"South Sandwich Islands, 1929",,,,,,-54,-29.5,,,,,,,,,,
"New York:  Attica, 1929",,,,,,42.9,-78.3,,,,,,,,,,
"Chile, 1929",,,,,,-23,-69,,,,,,,,,,
"Alaska:  Aleutian Islands:  Near Islands, 1929",,,,,,52.5,171.5,,,,,,,,,,
"Spain:  Off Southern Coast, 1930",,,,,,36,-3,,,,,,,,,,
"Java-S. Java Sea, 1930",,,,,,-5.6,105.3,,,,,,,,,,
"Spain:  Montilla, 1930",,,,,,37.8,-4.5,,,,,,,,,,
"S. Java Sea, 1930",,,,,,-9.3,114.3,,,,,,,,,,
"Papua New Guinea:  Bismarck Sea, 1930",,,,,,-4.423,145.46,,,,,,,,,,
"Taiwan:  Tainan, 1930",,,,,,23.2,120.6,,,,,,,,,,
"Papua New Guinea:  Bismarck Sea, 1930",,,,,,-1.3,144.3,,,,,,,,,,
"Chile:  Northern, 1930",,,,,,-28.5,-71,,,,,,,,,,
"Myanmar (Burma):  Kachin, 1931",,,,,,25.6,96.8,,,,,,,,,,
"New Zealand:  N, 1931",,,,,,-39.5,177,,,,,,,,,,
"New Zealand:  N, 1931",,,,,,-39.5,177,,,,,,,,,,
"Japan:  Near E Coast Honshu, 1931",,,,,,40.5,142.5,,,,,,,,,,
"Central Chile, 1931",,,,,,-32.5,-72,,,,,,,,,,
"Papua New Guinea:  Bismarck Sea, 1931",,,,,,-3.417,142.077,,,,,,,,,,
"Pakistan:  Mach,Baluchistan, 1931",,,,,,29.8,67.3,,,,,,,,,,
"Solomon Islands:  San Cristobal Island, 1931",,,,,,-10.932,161.016,,,,,,,,,,
"Solomon Islands, 1931",,,,,,-9.968,161.194,,,,,,,,,,
"Nicaragua:  Near West Coast, 1932",,,,,,12,-87.5,,,,,,,,,,
"Kermadec Islands, 1932",,,,,,-25.5,179.2,,,,,,,,,,
"Mexico:  Central, 1932",,,,,,19,-104.5,,,,,,,,,,
"Myanmar; India:  Assam, 1932",,,,,,26,95.5,,,,,,,,,,
"New Zealand:  Gisborne, Wairoa, 1932",,,,,,-39,177.5,,,,,,,,,,
"Pacific Ocean:  N, 1932",,,,,,-32,-131.5,,,,,,,,,,
"Venezuela: Cumana, 1932",,,,,,10.5,-64.2,,,,,,,,,,
"New York:  Willetts Point, 1932",,,,,,None,None,,,,,,,,,,
"El Salvador:  Zacatecoluca,San Juan,Nonualco, 1932",,,,,,13.3,-88.5,,,,,,,,,,
"Chile, 1933",,,,,,-20,-71,,,,,,,,,,
"Japan:  Sanriku, 1933",,,,,,39.224,144.622,,,,,,,,,,
"Togo:  Gold Coast, 1933",,,,,,6.9,0.6,,,,,,,,,,
"El Salvador:  San Salvador, 1933",,,,,,12,-87.5,,,,,,,,,,
"Sanriku, Japan, 1933",,,,,,38.1,142.4,,,,,,,,,,
"Ecuador, 1933",,,,,,-2,-81,,,,,,,,,,
"Papua New Guinea, 1933",,,,,,-5,151,,,,,,,,,,
"Philippines:  Luzon, 1934",,,,,,17.5,119,,,,,,,,,,
"New Zealand:  North Island, 1934",,,,,,-40.5,175.5,,,,,,,,,,
"Panama-Costa Rica, 1934",,,,,,8,-82.5,,,,,,,,,,
"Solomon Islands:  Santa Cruz Islands, 1934",,,,,,-11.907,166.731,,,,,,,,,,
"Solomon Islands; New Caledonia, 1934",,,,,,-11.139,165.503,,,,,,,,,,
"Mexico:  Jalisco, 1934",,,,,,18.5,-105.5,,,,,,,,,,
"Honduras:  San Jorge, La Encarnacion, San Fernando, 1934",,,,,,15,-89,,,,,,,,,,
"Chile:  Iquique, Pisagua, Sapiga, Negrero, 1934",,,,,,-19.5,-69.5,,,,,,,,,,
"Papua New Guinea:  New Britain:  Rabaul, 1934",,,,,,-4.2,152.2,,,,,,,,,,
"Taiwan:  Xinzhu, 1935",,,,,,24.8,120.8,,,,,,,,,,
"Taiwan:  Taizhong, 1935",,,,,,24.2,120.5,,,,,,,,,,
"Japan, 1935",,,,,,36.6,141.4,,,,,,,,,,
"Russia:  Kuril Islands, 1935",,,,,,43,146.5,,,,,,,,,,
"Papua New Guinea:  N-Central, 1935",,,,,,-3.824,141.416,,,,,,,,,,
"Sanriku, Japan, 1935",,,,,,39.9,143.7,,,,,,,,,,
"Sanriku, Japan, 1935",,,,,,40.7,144.3,,,,,,,,,,
"Indonesia:  Celebes Sea, 1935",,,,,,5.5,94,,,,,,,,,,
"Mexico:  Tuxtla Gutierrez,Guerrero,Mexico City, 1935",,,,,,16.5,-93.1,,,,,,,,,,
"Solomon Islands, 1935",,,,,,-9.8,161,,,,,,,,,,
"Sanriku, Japan, 1936",,,,,,38.2,142.2,,,,,,,,,,
"Nicaragua:  Chinandega,Port Corinto, 1937",,,,,,12.6,-87.2,,,,,,,,,,
"Russia:  Kuril Islands, 1937",,,,,,44.5,149.4,,,,,,,,,,
"Fiji Islands, 1937",,,,,,-21.5,-177,,,,,,,,,,
"Russia:  Kamchatka, 1937",,,,,,56,162.5,,,,,,,,,,
"Mexico:  Chilpancingo,Tixtla, 1937",,,,,,17.3,-99.3,,,,,,,,,,
"Indonesia:  New Guinea:  Fakfak, 1937",,,,,,-3,132.3,,,,,,,,,,
"Taiwan:  Taidong, 1937",,,,,,22.9,121.2,,,,,,,,,,
"El Salvador:  Ahuachapan,Atiquizaya,Turin,La Puerta, 1937",,,,,,13.5,-89.5,,,,,,,,,,
"Indonesia:  New Guinea, 1938",,,,,,-5.25,130.5,,,,,,,,,,
"Indonesia:  New Guinea:  Fakfak, 1938",,,,,,-3,132.3,,,,,,,,,,
"Papua New Guinea, 1938",,,,,,-5.1,153.1,,,,,,,,,,
"Nan, 1938",,,,,,52.2,-131.9,,,,,,,,,,
"Nicaragua:  Leon,Chinandega, 1938",,,,,,12.2,-86.9,,,,,,,,,,
"Nicaragua:  Leon (Telica Volcano Destroyed), 1938",,,,,,12.3,-86.9,,,,,,,,,,
"Papua New Guinea, 1938",,,,,,-6,147.8,,,,,,,,,,
"Japan Trench, 1938",,,,,,36.7,141.4,,,,,,,,,,
"E. Hokkaido Island, Japan, 1938",,,,,,43.6,144.3,,,,,,,,,,
"Japan:  Sw Ryukyu Islands, 1938",,,,,,25.208,125.115,,,,,,,,,,
"Mexico:  Teloloapan, 1938",,,,,,18.2,-99.5,,,,,,,,,,
"Japan:  Near E Coast Honshu, 1938",,,,,,37.2,141.7,,,,,,,,,,
"Japan:  Off East Coast Honshu, 1938",,,,,,37.5,142.2,,,,,,,,,,
"Japan:  Near E Coast Honshu, 1938",,,,,,37,141.7,,,,,,,,,,
"Japan:  Sanriku, 1938",,,,,,37.6,141.2,,,,,,,,,,
"Japan:  Sanriku, 1938",,,,,,37,141.5,,,,,,,,,,
"Japan:  Sanriku, 1938",,,,,,36.7,142.1,,,,,,,,,,
"Japan:  Sanriku, 1938",,,,,,37,142.2,,,,,,,,,,
"Taiwan, 1938",,,,,,22.9,121.5,,,,,,,,,,
"Turkey, 1939",,,,,,36.3,30.7,,,,,,,,,,
"Italy:  Calabria, 1939",,,,,,38.5,14.7,,,,,,,,,,
"Seikaido, Japan, 1939",,,,,,32.3,132,,,,,,,,,,
"Chile:  North Central, 1939",,,,,,-27,-70.5,,,,,,,,,,
"Solomon Islands, 1939",,,,,,-9.295,159.234,,,,,,,,,,
"Afghanistan, 1939",,,,,,36.3,70.6,,,,,,,,,,
"Indonesia:  Centrtal Sulawesi:  Kalo,Luwuk,Sula I, 1939",,,,,,       ,123,,,,,,,,,,
"Argentina:  San Juan, 1940",,,,,,-31,-69,,,,,,,,,,
"Nicaragua:  Corinto,Chinandega, 1940",,,,,,12.5,-87.5,,,,,,,,,,
"Alaska:  Aleutian Islands:  Rat Islands, 1940",,,,,,52,178.2,,,,,,,,,,
"Chile:  Northern, 1940",,,,,,-22,-71,,,,,,,,,,
"Chile:  S, 1940",,,,,,-41.5,-74.5,,,,,,,,,,
"Italy:  Calabria, 1941",,,,,,38.3,12.2,,,,,,,,,,
"Tunisia:  Bou-Saadiah,Zaghouan, 1941",,,,,,36,10,,,,,,,,,,
"Japan:  Shikoku, 1941",,,,,,32,132.1,,,,,,,,,,
"Costa Rica-Panama, 1941",,,,,,8.5,-84,,,,,,,,,,
"Philippines:  Mindoro, 1942",,,,,,13.5,121,,,,,,,,,,
"Colombia, 1942",,,,,,4.6,-74.5,,,,,,,,,,
"Indonesia:  Minahassa Peninsula, 1942",,,,,,       ,124,,,,,,,,,,
"Argentina:  Canada,Seca,Las Malvinas, 1942",,,,,,-34.6,-67.9,,,,,,,,,,
"Guatemala:  Near S Coast, 1942",,,,,,14,-91,,,,,,,,,,
"South Africa:  Prince Edward Island, 1942",,,,,,-49.5,32,,,,,,,,,,
"Mexico:  Juchitan, 1942",,,,,,16.3,-95,,,,,,,,,,
"Philippines:  E Of, 1943",,,,,,7.5,128,,,,,,,,,,
"Indonesia:  S Sumatera, 1943",,,,,,-1,101,,,,,,,,,,
"Se. Hokkaido Island, Japan, 1943",,,,,,41.2,143.3,,,,,,,,,,
"Puerto Rico:  San Juan, 1943",,,,,,19.3,-67.5,,,,,,,,,,
"Australia:  Macquarie Island, 1943",,,,,,-53,159,,,,,,,,,,
"New Caledonia:  Loyalty Islands, 1943",,,,,,-22,171,,,,,,,,,,
"Kermadec Islands:  S Of, 1943",,,,,,-30,-177,,,,,,,,,,
"Myanmar (Burma), 1943",,,,,,21.5,93.5,,,,,,,,,,
"Indonesia:  New Guinea:  Irian Jaya:  Aru Islands, 1943",,,,,,-6,134.5,,,,,,,,,,
"Russia:  Kamchatka, 1943",,,,,,54.9,156.8,,,,,,,,,,
"Indonesia:  Flores, 1944",,,,,,-8.5,123.5,,,,,,,,,,
"Papua New Guinea:  New Ireland, 1944",,,,,,-2.5,152.8,,,,,,,,,,
"China:  Xinjiang, 1944",,,,,,39.1,75,,,,,,,,,,
"New Caledonia:  Loyalty Islands, 1944",,,,,,-22.5,172,,,,,,,,,,
"Vanuatu Islands, 1944",,,,,,-19,169,,,,,,,,,,
"Sanriku, Japan, 1945",,,,,,40.9,142.1,,,,,,,,,,
"Papua New Guinea:  New Britain, 1945",,,,,,-6,150,,,,,,,,,,
"Iran:  Kazerun, 1946",,,,,,29.4,51.4,,,,,,,,,,
"British Columbia, 1946",,,,,,49.87,-124.92,,,,,,,,,,
"Dominican Republic:  Northeastern Coast, 1946",,,,,,19.5,-69.5,,,,,,,,,,
"Myanmar (Burma), 1946",,,,,,23.9,96.2,,,,,,,,,,
"Myanmar (Burma), 1946",,,,,,23.9,96.2,,,,,,,,,,
"Papua New Guinea:  New Ireland, 1946",,,,,,-4.5,153.5,,,,,,,,,,
"Alaska:  East Aleutian Islands, 1946",,,,,,51.5,-174.5,,,,,,,,,,
"El Salvador:  La Union, 1947",,,,,,13.2,-87.5,,,,,,,,,,
"Argentina:  Santiago Del Estero Province, 1947",,,,,,-26.5,-63,,,,,,,,,,
"China:  Qinghai Province, 1947",,,,,,33.3,99.5,,,,,,,,,,
"California, 1947",,,,,,35,-116.6,,,,,,,,,,
"Papua New Guinea:  New Britain, 1947",,,,,,-6.5,148.5,,,,,,,,,,
"New Zealand:  Off Coast North Island, 1947",,,,,,-38.42,178.88,,,,,,,,,,
"India-China, 1947",,,,,,28.5,94,,,,,,,,,,
"Pakistan:  Gwadar, 1947",,,,,,25.5,63,,,,,,,,,,
"W. Hokkaido Island, Japan, 1947",,,,,,43.8,141,,,,,,,,,,
"Indonesia:  Seram, 1948",,,,,,-3,127.5,,,,,,,,,,
"Tokaido, Japan, 1948",,,,,,33.1,135.6,,,,,,,,,,
"Alaska:  Alaska Peninsula, 1948",,,,,,54.5,-161,,,,,,,,,,
"Indonesia:  Off Northwest Coast, 1948",,,,,,6,95,,,,,,,,,,
"Tonga Islands, 1948",,,,,,-21,-174,,,,,,,,,,
"Russia:  Kamchatka, 1949",,,,,,54.6,163.5,,,,,,,,,,
"Grfece:  Off West Coast, 1949",,,,,,38.2,20,,,,,,,,,,
"Iran:  Makhl-E-Nakhoda,Bandar Abbas,Bazaar, 1949",,,,,,27.28,56.46,,,,,,,,,,
"Indonesia:  Banda Aceh, 1949",,,,,,5,95,,,,,,,,,,
"Tonga Islands, 1949",,,,,,-18.5,-174.5,,,,,,,,,,
"Canada:  Queen Charlotte Islands, 1949",,,,,,53.62,-133.27,,,,,,,,,,
"Philippines:  N Luzon, 1949",,,,,,17,121.5,,,,,,,,,,
"Papua New Guinea:  Bismarck Sea, 1949",,,,,,-5.5,154,,,,,,,,,,
"China:  Yunnan Province, 1950",,,,,,21.7,100.1,,,,,,,,,,
"N. New Zealand, 1950",,,,,,-37.8,177.2,,,,,,,,,,
"Panama, 1950",,,,,,6.5,-83,,,,,,,,,,
"Peru, 1950",,,,,,-15,-69.5,,,,,,,,,,
"Costa Rica-Nicaragua, 1950",,,,,,11,-85,,,,,,,,,,
"Indonesia:  Seram, 1950",,,,,,-3.8,128.3,,,,,,,,,,
"Guatemala:  San Marcos, 1950",,,,,,14.31,-91.917,,,,,,,,,,
"Indonesia:  Banda Sea, 1950",,,,,,-6.5,129.5,,,,,,,,,,
"Solomon Islands:  Solomon Sea, 1950",,,,,,-10,159.5,,,,,,,,,,
"Vanuatu Islands, 1950",,,,,,-18.25,167.5,,,,,,,,,,
"Papua New Guinea:  Bismarck Sea, 1951",,,,,,-3.7,142.2,,,,,,,,,,
"Philippines, 1951",,,,,,9.5,127.3,,,,,,,,,,
"Peru, 1951",,,,,,-15,-69.5,,,,,,,,,,
"Nicaragua:  Gulf Of Fonseca:  Potosi, 1951",,,,,,13,-87.5,,,,,,,,,,
"Nicaragua:  Gulf Of Fonseca:  Jinotega, 1951",,,,,,13,-87.5,,,,,,,,,,
"Hawaii, 1951",,,,,,19.7,-156,,,,,,,,,,
"China:  Tibet (Xizang Province), 1951",,,,,,31.1,91.4,,,,,,,,,,
"Indian Ocean:  S, 1951",,,,,,-34,57,,,,,,,,,,
"Peru-Bolivia, 1952",,,,,,-14.1,-69.9,,,,,,,,,,
"Japan:  Hokkaido, 1952",,,,,,41.7,142.5,,,,,,,,,,
"Hawaii, 1952",,,,,,19.11,-155.033,,,,,,,,,,
"Costa Rica-Panama, 1952",,,,,,10.3,-85.3,,,,,,,,,,
"Vanuatu Islands, 1952",,,,,,-18.5,169.25,,,,,,,,,,
"Peru:  Lima, 1953",,,,,,-12,-77.5,,,,,,,,,,
"Russia:  N. Kuril Islands, 1953",,,,,,50,156.5,,,,,,,,,,
"Papua New Guinea:  Solomon Islands, 1953",,,,,,-4.449,152.868,,,,,,,,,,
"Dominican Republic: Puerto Plata, 1953",,,,,,19.8,-70.7,,,,,,,,,,
"Vanuatu Islands, 1953",,,,,,-19,169,,,,,,,,,,
"Solomon Islands, 1953",,,,,,-13.189,166.516,,,,,,,,,,
"Chile:  Central, 1954",,,,,,-29,-70.5,,,,,,,,,,
"Myanmar; India:  Calcutta, Cuttack, Bhagalpur, 1954",,,,,,24.5,95.3,,,,,,,,,,
"Spain, 1954",,,,,,37,-3.5,,,,,,,,,,
"Atlantic Ocean:  Northern, 1954",,,,,,29.5,-29.5,,,,,,,,,,
"Nevada:  Fallon, 1954",,,,,,39.4,-118.5,,,,,,,,,,
"China: Nei Mongol, 1954",,,,,,38.8,104.2,,,,,,,,,,
"Japan:  Honshu:  Miyagi Prefecture, 1954",,,,,,38.9,142.2,,,,,,,,,,
"Venezuela:  Off The Coast Near La Vela, 1955",,,,,,11.46,-69.57,,,,,,,,,,
"Kermadec Islands, 1955",,,,,,-28,-175.5,,,,,,,,,,
"Nicaragua:  Managua, 1955",,,,,,13,-87,,,,,,,,,,
"Greece:  S, 1955",,,,,,37.5,22,,,,,,,,,,
"China:  Xinjiang Province, 1955",,,,,,44.2,83.6,,,,,,,,,,
"India:  Little Nicobar Island, 1955",,,,,,6.5,94,,,,,,,,,,
"Colombia-Ecuador, 1955",,,,,,0.2,-78.4,,,,,,,,,,
"Solomon Islands:  Fauro Island, 1955",,,,,,-6.9,155.7,,,,,,,,,,
"Papua New Guinea:  Bismarck Sea, 1955",,,,,,-5,152.5,,,,,,,,,,
"Mexico:  Guerrero, 1956",,,,,,17,-99.5,,,,,,,,,,
"Tonga Islands, 1956",,,,,,-20,-175,,,,,,,,,,
"Nicaragua:  Puerto Samoza, 1956",,,,,,12.2,-86.7,,,,,,,,,,
"Ne. Hokkaido Island, Japan, 1956",,,,,,44.3,144.1,,,,,,,,,,
"Fiji Islands, 1956",,,,,,-15,-179,,,,,,,,,,
"Greece:  Aegean Sea, 1956",,,,,,36.8,25.2,,,,,,,,,,
"Indonesia:  Banda Sea, 1956",,,,,,-5.5,130,,,,,,,,,,
"Japan:  Izu Peninsula, 1956",,,,,,33.8,138.8,,,,,,,,,,
"Chile:  Antofagasta, 1956",,,,,,-25.5,-71,,,,,,,,,,
"Alaska, 1957",,,,,,51.292,-175.629,,,,,,,,,,
"Samoa Islands, 1957",,,,,,-15.5,-173,,,,,,,,,,
"Indonesia:  Java Sea, 1957",,,,,,-4.6,107.1,,,,,,,,,,
"Turkey, 1957",,,,,,36,28.5,,,,,,,,,,
"Indonesia:  New Guinea:  Irian Jaya, 1957",,,,,,-1.5,137,,,,,,,,,,
"Philippines, 1957",,,,,,5.5,127.5,,,,,,,,,,
"S. Java Sea, 1957",,,,,,-8.2,107.3,,,,,,,,,,
"Fiji Islands, 1957",,,,,,-20.4,-178.5,,,,,,,,,,
"Indonesia:  Kalimantan Island, 1957",,,,,,-2,116,,,,,,,,,,
"Bolivia:  S, 1957",,,,,,-21,-66,,,,,,,,,,
"Solomon Islands, 1957",,,,,,None,None,,,,,,,,,,
"Solomon Islands:  Santa Cruz Islands, 1957",,,,,,-12.3,166.7,,,,,,,,,,
"Indoensia:  Sumatra:  Bengkulu, 1958",,,,,,-4.5,104,,,,,,,,,,
"Azores, 1958",,,,,,38.5,-28.8,,,,,,,,,,
"Peru:  S, 1958",,,,,,-13.5,-69,,,,,,,,,,
"Russia:  N. Kuril Islands, 1958",,,,,,49.3,156.4,,,,,,,,,,
"East Pacific Ridge, 1958",,,,,,-50,-115,,,,,,,,,,
"Russia:  S. Kuril Islands, 1958",,,,,,44.2,148.8,,,,,,,,,,
"Sanriku, Japan, 1959",,,,,,37.5,142.2,,,,,,,,,,
"Russia:  S. Kuril Islands, 1959",,,,,,44.3,149,,,,,,,,,,
"Mexico:  Oaxaca;, 1959",,,,,,17,-96.3,,,,,,,,,,
"Solomon Islands, 1959",,,,,,-7.5,156,,,,,,,,,,
"Kermadec Islands, 1959",,,,,,-28.5,-177,,,,,,,,,,
"Sanriku, Japan, 1959",,,,,,37.5,143.2,,,,,,,,,,
"Russia:  Kamchatka, 1959",,,,,,45.89,151.11,,,,,,,,,,
"Japan:  Sanriku, 1960",,,,,,39.8,143.4,,,,,,,,,,
"Japan:  Sanriku, 1960",,,,,,39.4,143.7,,,,,,,,,,
"Papua New Guinea:  W. Solomon Sea, 1960",,,,,,-9.4,152.3,,,,,,,,,,
"Japan:  Sanriku, 1960",,,,,,40.3,142.5,,,,,,,,,,
"India:  N, 1960",,,,,,28.6,76.7,,,,,,,,,,
"Peru, 1960",,,,,,-6.8,-80.7,,,,,,,,,,
"Russia:  Kamchatka, 1961",,,,,,50.016,156.099,,,,,,,,,,
"Japan:  Kashima, 1961",,,,,,36,142.3,,,,,,,,,,
"Japan:  Kashima, 1961",,,,,,36,141.9,,,,,,,,,,
"Japan:  Kashima, 1961",,,,,,36.2,141.9,,,,,,,,,,
"India, 1961",,,,,,24.9,93.34,,,,,,,,,,
"Russia:  S. Kuril Islands, 1961",,,,,,43.2,147.9,,,,,,,,,,
"Kermadec Islands, 1961",,,,,,-28.3,-175.7,,,,,,,,,,
"California:  Terminal Island, 1961",,,,,,34,-118,,,,,,,,,,
"Turkey, 1961",,,,,,36.7,28.5,,,,,,,,,,
"Colombia: Northeastern Colombia, 1961",,,,,,8.9,-73.4,,,,,,,,,,
"Ryukyu Trench, 1961",,,,,,29.6,131.8,,,,,,,,,,
"Vanuatu Islands, 1961",,,,,,-18.421,168.411,,,,,,,,,,
"Solomon Islands, 1961",,,,,,-9.849,160.614,,,,,,,,,,
"Japan:  Se. Hokkaido Island, 1961",,,,,,42.9,145.6,,,,,,,,,,
"Russia:  S. Kuril Islands, 1961",,,,,,46.338,149.548,,,,,,,,,,
"Peru, 1961",,,,,,-10.5,-70.7,,,,,,,,,,
"South Sandwich Islands, 1961",,,,,,-59.5,-27.3,,,,,,,,,,
"South Sandwich Islands, 1961",,,,,,-58,-27,,,,,,,,,,
"South Sandwich Islands, 1961",,,,,,-56.26,-27.283,,,,,,,,,,
"Japan:  Se. Hokkaido Island, 1961",,,,,,42.7,145.7,,,,,,,,,,
"Chile:  Central, 1962",,,,,,-37.8,-72.5,,,,,,,,,,
"Costa Rica-Panama, 1962",,,,,,8.1,-82.9,,,,,,,,,,
"Sanriku, Japan, 1962",,,,,,38,142.8,,,,,,,,,,
"Se. Hokkaido Island, Japan, 1962",,,,,,42.2,143.9,,,,,,,,,,
"China:  Qinghai Province, 1962",,,,,,37.1,96,,,,,,,,,,
"Japan:  Off Coast Of Honshu Island, 1962",,,,,,41.8,142.4,,,,,,,,,,
"Greece:  Aegean Sea, 1962",,,,,,39.8,25,,,,,,,,,,
"Balkans Nw:  Bosnia-Herzegovina, 1962",,,,,,43.6,18.3,,,,,,,,,,
"Panama, 1962",,,,,,7.5,-82,,,,,,,,,,
"Utah, 1962",,,,,,41.8,-111.8,,,,,,,,,,
"Greece:  Aegean Sea; Turkey:  Balikesir, 1962",,,,,,39.6,23.3,,,,,,,,,,
"Iran:  Gahkom,Golruiyeh,Patkuiyeh,Laigazan,Ganj, 1962",,,,,,28.1,55.6,,,,,,,,,,
"Alaska:  Aleutian Islands:  Fox Islands, 1962",,,,,,52.47,-168.54,,,,,,,,,,
"Nicaragua:  Leon, 1963",,,,,,12.2,-86.9,,,,,,,,,,
"Indonesia:  Bali, 1963",,,,,,-8.2,115.6,,,,,,,,,,
"Iran:  W, 1963",,,,,,33.2,49.2,,,,,,,,,,
"Peru:  S, 1963",,,,,,-13.8,-69.3,,,,,,,,,,
"Solomon Islands, 1963",,,,,,-10.472,165.77,,,,,,,,,,
"Solomon Islands, 1963",,,,,,-10.286,165.413,,,,,,,,,,
"Russia:  S. Kuril Islands, 1963",,,,,,44.426,149.272,,,,,,,,,,
"Russia:  Kuril Islands, 1963",,,,,,44.772,150.563,,,,,,,,,,
"Indonesia:  Banda Sea, 1963",,,,,,-6.86,129.58,,,,,,,,,,
"Indonesia:  Java:  Labuhan, Menes, Ponorogo, 1963",,,,,,-6.4,105.4,,,,,,,,,,
"Tonga Trench, 1963",,,,,,-24.8,-176.6,,,,,,,,,,
"Azores, 1964",,,,,,38.8,-28.4,,,,,,,,,,
"Japan:  Nw. Honshu Island, 1964",,,,,,40.3,139,,,,,,,,,,
"Japan:  Nw. Honshu Island, 1964",,,,,,40.4,139,,,,,,,,,,
"Vanuatu Islands:  Espiritu Santo Islands, 1964",,,,,,-15.5,166.5,,,,,,,,,,
"Russia:  Kamchatka, 1964",,,,,,47.159,153.876,,,,,,,,,,
