mission,company,location,date,time,rocket,price,successful
AMC-10,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",2004-02-05,23:46:00,Atlas IIAS,7490000,True
RESOURCESAT-1 (IRS-P6),ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2003-10-17,4:52:00,PSLV-G,1220000,True
"Insat 3E, eBird-1, SMART-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2003-09-27,23:14:00,Ariane 5 G,5200000,True
SCISAT-1,Northrop,"Stargazer, Vandenberg AFB, California, USA",2003-08-13,2:09:00,Pegasus XL,1630000,True
Rainbow 1,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2003-07-17,23:45:00,Atlas V 521,23810000,True
OrbView-3,Northrop,"Stargazer, Vandenberg AFB, California, USA",2003-06-26,18:55:00,Pegasus XL,5280000,True
Optus C1 & BSAT-2c,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2003-06-11,22:38:00,Ariane 5 G,23920000,True
HellasSat-2,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2003-05-13,22:10:00,Atlas V 401,14790000,True
GSAT-2,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2003-05-08,11:28:00,GSLV Mk I,18210000,True
GALEX,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2003-04-28,12:00:00,Pegasus XL,17340000,True
AsiaSat 4,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2003-04-12,0:47:00,Atlas IIIB,3520000,True
INSAT-3A & Galaxy 12,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2003-04-09,22:52:00,Ariane 5 G,3800000,True
Intelsat 907,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2003-02-15,7:00:00,Ariane 44L,16290000,True
SORCE,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2003-01-25,20:13:00,Pegasus XL,22370000,True
STS-107,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2003-01-16,15:39:00,Space Shuttle Columbia,18810000,False
NSS-6,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-12-17,23:04:00,Ariane 44L,14330000,True
"Hot Bird 7, Stentor, MFD-A, MFD-B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2002-12-11,22:22:00,Ariane 5 ECA,19470000,False
STS-113,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2002-11-24,0:49:00,Space Shuttle Endeavour,12560000,True
STS-112,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2002-10-07,19:45:00,Space Shuttle Atlantis,8930000,True
Hispasat 1D,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",2002-09-18,22:04:00,Atlas IIAS,15230000,True
C4 - MetSat-1 (Kalpana-1),ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2002-09-12,10:23:00,PSLV-G,3380000,True
Intelsat 906,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-09-06,6:44:00,Ariane 44L,3890000,True
"Atlantic Bird 1, MSG-1, MFD",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2002-08-28,22:45:00,Ariane 5 G,13240000,True
Hot Bird 6,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2002-08-21,22:05:00,Atlas V 401,23990000,True
"SPOT-5, IDEFIX",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-07-05,23:02:00,Ariane 42P,7220000,True
Stellat-5 & NStar-C,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2002-07-02,23:22:00,Ariane 5 G,19080000,True
STS-111,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2002-06-05,21:22:00,Space Shuttle Endeavour,3700000,True
Intelsat 905,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-06-05,6:44:00,Ariane 44L,22800000,True
NSS-7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-04-16,23:02:00,Ariane 44L,4050000,True
STS-110,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2002-04-08,20:44:00,Space Shuttle Atlantis,10620000,True
"Astra 3A, JCSAT-8",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-03-29,1:29:00,Ariane 44L,4380000,True
STS-109,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2002-03-01,11:22:00,Space Shuttle Columbia,3230000,True
Envisat,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2002-03-01,1:07:00,Ariane 5 G,21040000,True
Intelsat 904,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-02-23,6:59:00,Ariane 44L,8440000,True
EchoStar VII,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2002-02-21,12:43:00,Atlas IIIB,4480000,True
RHESSI,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2002-02-05,20:58:00,Pegasus XL,7100000,True
Insat 3C,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2002-01-23,23:46:00,Ariane 42L,23860000,True
STS-108,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2001-12-05,22:19:00,Space Shuttle Endeavour,18660000,True
DirecTV-4S,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-11-27,5:59:00,Ariane 44LP,21020000,True
"TES, BIRD & PROBA",ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2001-10-22,10:23:00,PSLV-G,4740000,True
Atlantic Bird 2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-09-25,23:21:00,Ariane 44P,3500000,True
Orbview-4/QuikTOMS,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2001-09-21,18:49:00,Minotaur C (Taurus),20950000,False
Intelsat 902,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-08-30,6:46:00,Ariane 44L,7500000,True
STS-105,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2001-08-10,21:10:00,Space Shuttle Discovery,10400000,True
Artemis & BSAT-2b,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2001-07-12,21:58:00,Ariane 5 G,24190000,False
STS-104,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2001-07-12,9:03:00,Space Shuttle Atlantis,9830000,True
ICO F2,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2001-06-19,4:41:00,Atlas IIAS,19320000,True
Intelsat 901,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-06-09,6:45:00,Ariane 44L,24850000,True
STS-100,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2001-04-19,18:40:00,Space Shuttle Endeavour,18490000,True
GSAT-1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2001-04-18,10:13:00,GSLV Mk I,18110000,False
Eurobird-1 & BSat-2a,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2001-03-08,22:51:00,Ariane 5 G,15270000,True
STS-102,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2001-03-08,11:42:00,Space Shuttle Discovery,2800000,True
STS-98,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2001-02-07,23:13:00,Space Shuttle Atlantis,4150000,True
"Sicral-1, Skynet 4F",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-02-07,23:05:00,Ariane 44L,8560000,True
Turksat 2A,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2001-01-10,22:09:00,Ariane 44P,7390000,True
"Astra 2D, GE-8, LDREX",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-12-20,0:26:00,Ariane 5 G,24460000,True
STS-97,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2000-11-30,3:06:00,Space Shuttle Endeavour,19080000,True
Anik F1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-11-21,23:56:00,Ariane 44L,17090000,True
"PanAmSat-1R, Amsat-P3D, STRV 1C, STRV 1D",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-11-16,1:07:00,Ariane 5 G,19690000,True
EuropeStar F1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-10-29,5:59:00,Ariane 44LP,8120000,True
STS-92,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2000-10-11,23:17:00,Space Shuttle Discovery,10080000,True
HETE 2,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2000-10-09,5:38:00,Pegasus,4840000,True
N-SAT 110,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-10-06,23:00:00,Ariane 42L,14310000,True
Astra 2B & GE-7,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-09-14,22:54:00,Ariane 5 G,11320000,True
STS-106,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2000-09-08,12:45:00,Space Shuttle Atlantis,19170000,True
Eutelsat W1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-09-06,22:33:00,Ariane 44P,12210000,True
"Brasilsat B4, Nilesat 102",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-08-17,23:16:00,Ariane 44LP,22910000,True
MightySat 2.1,Northrop,"SLC-8, Vandenberg AFB, California, USA",2000-07-19,20:09:00,Minotaur I,14860000,True
Echostar 6,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2000-07-14,5:21:00,Atlas IIAS,2280000,True
TSX-5,Northrop,"Stargazer, Vandenberg AFB, California, USA",2000-06-07,13:19:00,Pegasus XL,15250000,True
Eutelsat W4,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2000-05-24,23:10:00,Atlas IIIA,17900000,True
STS-101,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2000-05-19,10:11:00,Space Shuttle Atlantis,23350000,True
Galaxy 4R,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-04-19,0:29:00,Ariane 42L,4970000,True
INSAT-3B & AsiaStar,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2000-03-21,23:28:00,Ariane 5 G,17540000,True
Multispectral Thermal Imager (MTI),Northrop,"SLC-576E, Vandenberg AFB, California, USA",2000-03-12,9:29:00,Minotaur C (Taurus),19200000,True
Superbird 4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-02-18,1:04:00,Ariane 44LP,13550000,True
STS-99,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2000-02-11,16:43:00,Space Shuttle Endeavour,17530000,True
Hispasat 1C,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2000-02-03,23:30:00,Atlas IIAS,13920000,True
JAWSat,Northrop,"SLC-8, Vandenberg AFB, California, USA",2000-01-27,3:03:00,Minotaur I,2150000,True
Galaxy 10R,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",2000-01-25,1:04:00,Ariane 42L,12920000,True
KOMPSAT & ACRIMSAT,Northrop,"SLC-576E, Vandenberg AFB, California, USA",1999-12-31,7:13:00,Minotaur C (Taurus),24220000,True
Galaxy-11,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-12-22,0:50:00,Ariane 44L,7850000,True
STS-103,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1999-12-20,0:50:00,Space Shuttle Discovery,1780000,True
XMM-Newton,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",1999-12-10,14:32:00,Ariane 5 G,16800000,True
Orbcomm D1-D8,Northrop,"Stargazer, Vandenberg AFB, California, USA",1999-12-04,18:53:00,Pegasus XL/HAPS,10210000,True
Helios 1B & Cl??mentine,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-12-03,16:22:00,Ariane 40,12290000,True
GE-4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-11-13,22:54:00,Ariane 44LP,20200000,True
Orion 2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-10-19,6:22:00,Ariane 44LP,21950000,True
Telstar 7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-09-25,6:29:00,Ariane 44LP,21820000,True
Echostar 5,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1999-09-23,6:02:00,Atlas IIAS,16190000,True
Koreasat-3,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-09-04,22:34:00,Ariane 42P,18020000,True
Telkom-1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-08-12,22:52:00,Ariane 42P,15110000,True
STS-93,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1999-07-23,4:31:00,Space Shuttle Columbia,19870000,True
"IRS-P4, DLR-Tubsat, & Kitsat-3",ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1999-05-29,11:52:00,PSLV-G,3990000,True
STS-96,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1999-05-27,10:49:00,Space Shuttle Discovery,9130000,True
TERRIERS & MUBLCOM,Northrop,"Stargazer, Vandenberg AFB, California, USA",1999-05-18,5:09:00,Pegasus XL/HAPS,1050000,True
Eutelsat W3,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1999-04-12,22:50:00,Atlas IIAS,10660000,True
Insat-2E,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-04-02,22:03:00,Ariane 42P,16230000,True
WIRE,Northrop,"Stargazer, Vandenberg AFB, California, USA",1999-03-05,2:56:00,Pegasus XL,23250000,True
"Arabsat-3A, Skynet 4E",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1999-02-26,22:44:00,Ariane 44L,17090000,True
JCSAT-6,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1999-02-16,1:45:00,Atlas IIAS,23540000,True
Panamsat-6B,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-12-22,1:08:00,Ariane 42L,7900000,True
SWAS,Northrop,"Stargazer, Vandenberg AFB, California, USA",1998-12-06,0:57:00,Pegasus XL,21290000,True
Satmex 5,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-12-06,0:43:00,Ariane 42L,8610000,True
STS-88,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-12-04,8:35:00,Space Shuttle Endeavour,4880000,True
STS-95,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1998-10-29,19:19:00,Space Shuttle Discovery,21850000,True
"Afristar, GE-5",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-10-28,22:15:00,Ariane 44L,11570000,True
SCD-2,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",1998-10-22,0:02:00,Pegasus,24620000,True
MaqSat 3 & ARD,ESA,"ELA-3, Guiana Space Centre, French Guiana, France",1998-10-21,16:37:00,Ariane 5 G,4130000,True
Hot Bird 5,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1998-10-09,22:50:00,Atlas IIA,8370000,True
"Eutelsat W2, Sirius-3",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-10-05,22:51:00,Ariane 44L,2230000,True
STEX (NROL-8),Northrop,"SLC-576E, Vandenberg AFB, California, USA",1998-10-03,10:04:00,Minotaur C (Taurus),5410000,True
Orbcomm C1 - C8,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-09-23,5:06:00,Pegasus XL/HAPS,24850000,True
Panamsat-7,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-09-16,6:31:00,Ariane 44LP,4270000,True
ST-1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-08-25,23:07:00,Ariane 44P,17530000,True
Orbcomm B1 - B8,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-08-02,16:24:00,Pegasus XL/HAPS,2160000,True
Intelsat 805,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1998-06-18,22:48:00,Atlas IIAS,5430000,True
STS-91,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-06-02,22:06:00,Space Shuttle Discovery,22120000,True
"Nilesat-101, BSAT-1B",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-04-28,22:53:00,Ariane 44P,16490000,True
STS-90,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1998-04-17,18:19:00,Space Shuttle Columbia,16920000,True
TRACE,Northrop,"Stargazer, Vandenberg AFB, California, USA",1998-04-02,16:24:00,Pegasus XL,4840000,True
SPOT-4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-03-24,1:46:00,Ariane 40,20440000,True
Intelsat 806,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1998-02-28,0:21:00,Atlas IIAS,10680000,True
Hot Bird 4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-02-27,22:38:00,Ariane 42P,17720000,True
SNOE & BATSAT,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1998-02-26,7:07:00,Pegasus XL,13020000,True
GFO & Orbcomm 11 and 12,Northrop,"SLC-576E, Vandenberg AFB, California, USA",1998-02-10,13:20:00,Minotaur C (Taurus),23410000,True
"Brasilsat B3, Inmarsat-3 F5",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1998-02-04,23:29:00,Ariane 44LP,24610000,True
STS-89,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1998-01-22,2:48:00,Space Shuttle Endeavour,5360000,True
PAS-22,ILS,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1997-12-24,23:19:00,Proton K/Block DM-3,19190000,False
Orbcomm A1-A8,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1997-12-23,19:11:00,Pegasus XL/HAPS,14640000,True
Intelsat 804,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-12-22,0:16:00,Ariane 42L,2460000,True
"Sirius-2, Cakrawarta-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-12-12,21:48:00,Ariane 44L,8920000,True
Galaxy 8i,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-12-08,23:52:00,Atlas IIAS,5330000,True
"JCSAT-5, Equator S",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-12-02,22:52:00,Ariane 44P,13140000,True
STS-87,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1997-11-19,19:46:00,Space Shuttle Columbia,15730000,True
"MaqSat-H, TEAMSAT, MaqSat-B, YES",ESA,"ELA-3, Guiana Space Centre, French Guiana, France",1997-10-30,13:43:00,Ariane 5 G,6960000,False
STEP-4,Northrop,"Stargazer, Wallops Flight Facility, Virginia, USA",1997-10-22,13:13:00,Pegasus XL,3110000,True
Echostar 3,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-10-05,21:01:00,Atlas IIAS,23020000,True
IRS-1D,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1997-09-29,10:20:00,PSLV-G,9290000,False
STS-86,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-09-25,14:34:00,Space Shuttle Atlantis,9860000,True
Intelsat 803,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-09-23,23:58:00,Ariane 44LP,3840000,True
GE-3,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1997-09-04,12:03:00,Atlas IIAS,12790000,True
"Hot Bird 3, Meteosat 7",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-09-02,22:21:00,Ariane 44LP,5730000,True
FORTE,Northrop,"Stargazer, Vandenberg AFB, California, USA",1997-08-29,15:02:00,Pegasus XL,7650000,True
Panamsat-6,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-08-08,6:46:00,Ariane 44P,13940000,True
STS-85,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-08-07,14:41:00,Space Shuttle Discovery,6570000,True
OrbView-2,Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-08-01,20:20:00,Pegasus XL,24500000,True
Superbird C,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-07-28,1:15:00,Atlas IIAS,11130000,True
STS-94,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-07-01,18:02:00,Space Shuttle Columbia,6840000,True
Intelsat 802,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-06-25,23:44:00,Ariane 44P,6280000,True
"Inmarsat 3 F4, Insat 2D",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-06-03,23:20:00,Ariane 44L,19660000,True
STS-84,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-05-15,8:07:00,Space Shuttle Atlantis,2040000,True
MiniSat & Celestis space burial,Northrop,"Stargazer, Base Aerea de Gando, Gran Canaria",1997-04-21,11:59:00,Pegasus XL,3380000,True
"Thaicom 3, BSAT 1a",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-04-16,23:08:00,Ariane 44LP,11660000,True
STS-83,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-04-04,19:20:00,Space Shuttle Columbia,10450000,True
Tempo 2,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1997-03-08,6:01:00,Atlas IIA,10090000,True
Intelsat 801,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-03-01,1:07:00,Ariane 44P,24520000,True
JCSAT-4,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1997-02-17,1:42:00,Atlas IIAS,15760000,True
STS-82,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1997-02-11,8:55:00,Space Shuttle Discovery,1320000,True
"GE-2, Nahuel 1A",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1997-01-30,22:04:00,Ariane 44L,11460000,True
STS-81,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1997-01-12,9:27:00,Space Shuttle Atlantis,20300000,True
Inmarsat 3-F3,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-12-18,1:57:00,Atlas IIA,10680000,True
STS-80,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-12-07,11:49:00,Space Shuttle Columbia,16670000,True
Hot Bird 2,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1996-11-21,20:47:00,Atlas IIA,20280000,True
"Arabsat-2B, Measat-2",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-11-13,22:40:00,Ariane 44L,12160000,True
HETE & SAC-B,Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-11-04,17:08:00,Pegasus XL,23330000,False
STS-79,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1996-09-16,8:54:00,Space Shuttle Atlantis,5010000,True
Echostar-2,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-09-11,0:00:00,Ariane 42P,22340000,True
GE-1,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-09-08,21:49:00,Atlas IIA,14380000,True
FAST,Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-08-21,9:47:00,Pegasus XL,22280000,True
"Italsat F2, Telecom 2D",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-08-08,22:49:00,Ariane 44L,21730000,True
"Arabsat-2A, T??rksat 1C",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-07-09,22:24:00,Ariane 44L,7000000,True
TOMS,Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-07-02,7:48:00,Pegasus XL,24080000,True
STS-78,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-06-20,14:49:00,Space Shuttle Columbia,4170000,True
Intelsat 709,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-06-15,6:55:00,Ariane 44P,16270000,True
Cluster,ESA,"ELA-3, Guiana Space Centre, French Guiana, France",1996-06-04,12:34:00,Ariane 5 G,19800000,False
STS-77,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-05-19,10:30:00,Space Shuttle Endeavour,24040000,True
MSTI-3,Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-05-17,2:44:00,Pegasus,11110000,True
"Palapa C2, AMOS-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-05-16,1:56:00,Ariane 44L,1900000,True
M-SAT-1,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-04-20,22:36:00,Ariane 42P,3590000,True
Inmarsat 3-F1,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",1996-04-03,23:01:00,Atlas IIA,11290000,True
STS-76,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-03-22,8:13:00,Space Shuttle Atlantis,11260000,True
IRS-P3,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1996-03-21,4:53:00,PSLV-G,3800000,True
Intelsat 707,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-03-14,7:11:00,Ariane 44LP,11880000,True
REX II,Northrop,"Stargazer, Vandenberg AFB, California, USA",1996-03-09,1:53:00,Pegasus XL,3780000,True
STS-75,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-02-22,20:18:00,Space Shuttle Columbia,20590000,True
N-Star B,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-02-05,7:19:00,Ariane 44P,19720000,True
Palapa C1,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1996-02-01,1:15:00,Atlas IIAS,20940000,True
"Panamsat-3R, Measat-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1996-01-12,23:10:00,Ariane 44L,8060000,True
STS-72,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1996-01-11,9:41:00,Space Shuttle Endeavour,15530000,True
"Telecom 2C, Insat 2C",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-12-06,23:23:00,Ariane 44L,4960000,True
Infrared Space Observatory,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-11-17,1:20:00,Ariane 44P,13800000,True
STS-74,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-11-12,12:30:00,Space Shuttle Atlantis,5360000,True
STS-73,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-10-20,13:53:00,Space Shuttle Columbia,11550000,True
Astra 1E,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-10-19,0:28:00,Ariane 42L,6270000,True
Telstar 402R,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-09-24,0:06:00,Ariane 42L,2150000,True
STS-69,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-09-07,15:09:00,Space Shuttle Endeavour,24370000,True
N-Star A,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-08-29,6:41:00,Ariane 42P,21220000,True
JCSAT-3,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",1995-08-29,0:53:00,Atlas IIAS,13800000,True
Panamsat-4,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-08-03,22:58:00,Ariane 42L,6150000,True
STS-70,NASA,"LC-39B, Kennedy Space Center, Florida, USA",1995-07-13,13:41:00,Space Shuttle Discovery,18680000,True
"Helios 1A, Cerise, LBSAT-1",Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-07-07,16:23:00,Ariane 40,6200000,True
STS-71,NASA,"LC-39A, Kennedy Space Center, Florida, USA",1995-06-27,19:32:00,Space Shuttle Atlantis,20490000,True
STEP-3,Northrop,"Stargazer, Vandenberg AFB, California, USA",1995-06-22,19:58:00,Pegasus XL,4530000,False
DBS-3,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-06-10,0:24:00,Ariane 42P,4120000,True
Intelsat 706,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",1995-05-17,6:34:00,Ariane 44LP,5950000,True
